TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AI,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,15,643885.378621,49.887042,53.490676,53.170674,41.193239,29.506666,99.896434,99.870955,55.328026,48.840576,49.887016,53.490652,53.170627,0.000004,10209.33,14.49,59209748779938,68433705966,26530946364231,37869035386,475b0cd2c371534ac5e47d3378797d7b,
AI,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,23,407580.163836,47.165183,51.742918,51.502653,37.805142,26.289463,99.885692,99.854227,51.312475,46.821398,47.165157,51.742890,51.502624,0.000103,8578.76,10.84,51734848124818,52544975516,22301982266298,28498727526,c21a722ad7f5c6b1cc006b14352364dc,
AI,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,31,224982.873127,44.756771,50.045012,49.787233,34.219847,23.302194,99.868451,99.829184,47.319240,44.932837,44.756749,50.044977,49.787212,0.004298,5289.16,6.58,42931738370457,38480281607,18009591348081,22893639547,49b09921c172ca58399fc28d77b39ab7,
AI,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,39,120886.633367,43.066675,48.565293,48.149660,30.967264,21.105995,99.839708,99.790376,44.158244,43.464455,43.066646,48.565219,48.149635,0.721289,5195.04,6.61,32506968154968,32157743905,13523311338536,17912910713,a453dc0d4b363e39393b8af4c94fbacb,
AI,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,47,80319.072927,42.159176,47.386785,46.840256,28.896360,20.016753,99.792695,99.498819,42.357297,42.531007,42.159143,47.386665,46.840235,1.116760,3698.32,5.61,24840354103894,28766139378,10401083970217,16482107682,1a5fb83be15a0172296477e10cd8fa10,
AI,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,55,56759.928072,41.309013,46.136673,45.487676,26.983584,19.149201,98.874984,96.928207,40.737227,41.615754,41.308989,46.136461,45.487612,1.223273,3327.04,5.52,20647255984296,26563183384,8696161405931,15168336873,cfad473a598ea1d62e86ab51bb1e707c,
AI,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,15,676817.230769,51.187660,52.564251,55.139145,41.272317,30.099889,99.854358,99.819213,55.486637,49.354055,51.187573,52.564100,55.139013,0.000264,10195.86,14.53,60300218967192,70713809793,26431836641313,38015233762,a30deb8f3d76fea2bdb8fb6dcd02e135,
AI,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,23,317932.931069,46.427612,50.925953,53.927557,36.683922,24.953470,99.806651,99.764920,49.933775,46.394259,46.427606,50.925633,53.927329,0.000693,10519.08,9.99,65390778603288,51582921954,27303476206869,26295487007,475e48c716062b689aacf816c08c982f,
AI,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,31,110329.542458,44.060216,49.751056,53.018111,33.154659,21.988348,99.555834,98.272917,46.159178,44.691835,44.060021,49.750552,53.017781,0.011409,8051.61,5.75,52099541266205,28711084085,20944731944447,15324796223,9820884cbffb80fc7ff8a9d4c02b2dd7,
AI,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,39,42849.070929,43.120858,49.002560,52.346370,30.264931,20.482952,97.468884,95.931161,43.938659,43.917970,43.119818,49.001927,52.345976,0.257076,4711.44,4.97,30483173148989,22455147092,12276579827073,13542086049,7d869548631969d6899e806f94463b8a,
