TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,23,30903.394452,42.708403,48.934086,48.880939,30.177455,20.727385,99.973621,99.965428,43.690257,43.481002,42.676247,48.917595,48.865979,0.716727,130616.03,21.69,882718530799607,81172191715,338026526950635,58609872477,24e116502c5aabf69bba5d30e406d290,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,31,13628.942135,42.129009,48.216282,48.014586,28.704524,20.053825,99.969643,99.630478,42.547837,42.901675,42.113989,48.206518,48.004919,1.210773,108126.84,15.68,734874290545539,60288304518,280789753646216,55614401117,b57769a5143391b3ec9da8bd98eda58a,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,39,7697.638976,41.581070,47.374770,47.027407,27.601622,19.569334,99.691059,97.955975,41.536944,42.312479,41.571621,47.367849,47.019830,1.259644,83655.65,14.14,598417242139075,53052992806,234179741036199,38401204778,8d95f424f5a8a4b60b3427e3a5136d58,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,47,4903.576424,40.883249,46.492937,46.010590,26.264584,18.979947,97.209411,95.215054,40.244886,41.670342,40.871728,46.486661,46.002678,1.279081,54460.39,12.38,345400294753136,49032694607,141765874504506,33858706115,c3b52b9c61029e6da48f7651622654c6,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,55,3204.406670,39.893929,45.469863,44.840594,24.562649,18.170293,93.166974,91.030891,38.510912,40.867143,39.876322,45.463816,44.832703,1.309150,33496.21,11.89,214438325272066,42492901696,87321517515276,32484452795,461dd49d0708766891d5bd657b81a705,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,63,1339.898256,36.910498,42.752330,41.935064,20.298906,15.718796,78.493583,76.157027,34.069684,38.516644,36.870134,42.749352,41.931177,1.433816,15173.52,9.57,97581979994087,35212180353,39634357206937,26372633855,d099d957647f92891a7fb03c6f932484,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,23,12451.627142,41.753413,47.235648,47.261835,28.759482,20.023775,99.963348,99.035578,42.482674,42.552009,41.744032,47.229325,47.254048,1.270028,40823.27,9.22,263197894695673,34125101034,105966984255094,24756414506,31744fddb4e4206ec57a71b80a1965a7,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,31,7493.636210,41.312602,46.616037,46.477176,27.718051,19.561240,99.706216,97.549928,41.543525,42.070030,41.305624,46.611389,46.471015,1.310315,41435.57,8.35,275534164495460,30674575110,107512388459165,22514299809,ebad24a1f7f69cde6f3e6a45f7d7559b,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,39,4710.274341,40.662450,45.824726,45.506324,26.349587,18.937725,97.441943,94.968667,40.223825,41.437788,40.654484,45.820530,45.500607,1.332566,32373.93,7.23,228488604722857,27562100767,90594288961054,19659317696,148806c8800d64e0ef0e6ceb0364b048,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,47,3136.211481,39.813780,45.012869,44.507107,24.741980,18.180374,93.551872,91.083269,38.640432,40.745863,39.801296,45.008341,44.501210,1.359455,22619.62,5.85,146441253775091,25583269103,58642729371369,15908974647,e34d7e81d68dc0a2a18bfa87493fc1c5,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,55,2083.693537,38.655960,44.044016,43.389218,22.818362,17.193488,87.921061,85.436265,36.697085,39.864662,38.636525,44.039694,43.383596,1.390561,14017.52,5.49,97281829037661,21709132625,39287609913860,14999150223,ba970387432b98a83a222d4ea85cd6eb,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,63,876.548682,35.360038,41.462643,40.609866,18.311429,14.441241,69.178940,66.729465,32.070134,37.385885,35.318921,41.460223,40.607449,1.491840,8571.43,4.26,55209829474158,17036211364,22338979733500,11587962588,c2a8bcc45534bd3a722abfb7aed3fb43,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,23,8368.772151,40.832394,46.048710,45.843018,28.012724,19.544093,98.951268,96.525136,41.515411,41.846510,40.827126,46.045337,45.836988,1.355215,20582.52,5.44,133775255017817,21124409771,53398504814403,14462765639,d07cc4138f4108208c0b76efef204b20,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,31,5354.034273,40.364939,45.483200,45.136700,26.817884,19.015128,97.146055,94.544453,40.419519,41.351736,40.359386,45.480347,45.131205,1.403537,22081.95,5.05,145157577446584,19381554925,57327389393097,13489096985,9bf193a50513a7e61381ffd12c889308,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,39,3460.898486,39.652711,44.758739,44.265674,25.216233,18.277379,93.901888,91.146643,38.903558,40.697356,39.645002,44.755909,44.260463,1.425617,19060.54,4.33,124846758943078,17886574322,49478106099067,11635603422,852bd12f4aacdd607b10bca02c346d67,
