TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
LD,aom,av1,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,23,19875.094751,43.476763,45.405743,44.910601,28.756905,24.900666,98.269684,96.489877,47.981472,41.517745,43.246204,45.311210,44.797670,0.000001,37419.03,7.17,241148952300442,31147393303,97093680308364,18827411107,08066971f35be6eddf020642d9ecf68e,
LD,aom,av1,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,31,10173.624529,42.076131,44.480108,44.109222,26.967579,23.315949,96.949132,94.933899,45.613661,40.472737,41.887665,44.436033,44.057882,0.000011,29911.73,5.27,194575699328509,24240971113,77527621012471,13903759091,975c2e7026ccac43bc675ee03f94f4c7,
LD,aom,av1,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,39,5306.786752,40.443302,43.342181,43.253641,24.767505,21.345462,94.795817,92.593867,42.797215,39.200698,40.243119,43.309064,43.215303,0.000090,25965.66,4.27,167687189630881,19072129094,67377166918926,11222170003,756afea3c9bf762983b10500fca840ef,
LD,aom,av1,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,47,3098.491662,38.854466,42.336463,42.472714,22.535272,19.395759,91.649089,89.436781,40.076609,37.987956,38.630355,42.305549,42.439242,0.000763,20188.71,3.44,130284233106903,16792659487,52325514320264,9148878615,20446c21c65ad87fd540cbf1443a50a5,
LD,aom,av1,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,55,1795.542304,37.194097,41.309962,41.633162,20.116195,17.344515,87.240923,84.963849,37.301398,36.700407,36.960123,41.283998,41.606450,0.004042,16279.83,2.85,107137926658787,16700535438,42198444950915,7648440105,1bed31b5f0a76850003ccdcc6a843886,
LD,aom,av1,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,63,477.690924,33.164400,39.033364,39.830910,14.025662,12.500995,67.956202,65.611642,30.973258,33.620841,32.989280,39.014907,39.814757,0.020035,11528.01,2.37,74688404205568,15695970842,29905054945148,6687593902,bc94ffd611f1689b06a2cf23d252bd42,
LD,aom,av1,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,23,38278.334588,43.259959,45.070990,47.028272,32.830794,28.843089,99.973466,99.960986,50.496950,42.893687,43.007109,44.949691,46.977424,0.133797,29268.98,8.81,236437175362102,46168423236,99370865627551,30424965575,971d06534bd288604c5362845794314c,
LD,aom,av1,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,31,24522.898640,40.919635,43.527283,45.253524,30.062673,26.418537,99.859543,98.950076,46.713995,41.127753,40.694202,43.470748,45.230066,0.153530,35153.76,9.41,222137308294052,39070775919,91230526182799,24980702010,bc34213e0af25a7fff9face7a6a4c953,
LD,aom,av1,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,39,15681.234458,38.360452,41.968418,43.568310,27.021557,23.731954,97.522724,95.921672,42.355755,39.243774,38.133127,41.940708,43.557742,0.168115,27160.84,6.53,220093940405048,31250020832,92207344451714,22775782376,aa34d886740fcd4049db6ec576644a65,
LD,aom,av1,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,47,10328.140782,35.965167,40.720090,42.232713,24.105567,21.182513,92.938088,91.171210,38.209982,37.558482,35.705264,40.700704,42.227030,0.190422,31504.99,6.24,200105802587146,23983998166,81729391789517,16675256338,89aa3927eb9cc787f130bcb8ccfa77b7,
LD,aom,av1,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,55,6830.743410,33.700490,39.553680,40.985311,21.368424,18.738991,86.599907,84.758557,34.501244,35.897349,33.414440,39.535238,40.982382,0.193687,25886.31,4.43,177045711698064,18384463795,72371029484720,12751146227,57e5f452552900b9fadf17b0dbcb9505,
LD,aom,av1,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,63,2682.544532,29.524076,37.179864,38.259728,16.031653,13.829872,69.552541,67.704628,28.381620,32.358610,29.355589,37.159943,38.258294,0.190501,21266.54,3.00,136202312051364,10664061344,55187520468476,8093154232,cff0fb0119e724641a5092e0d1533001,
LD,aom,av1,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,23,93867.966154,40.367270,41.504427,42.230194,27.184765,22.990594,99.974792,99.967789,45.682931,38.580317,39.869371,41.211896,42.002525,0.000278,57734.60,16.93,456926883997426,93277300067,196131165162087,58348227588,7491b339e3e30db203917d1b507ae64d,
LD,aom,av1,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,31,56152.104615,37.971657,39.896336,40.677006,24.981043,21.011146,99.801830,98.897331,42.750349,36.894497,37.548199,39.714663,40.528354,0.000446,62319.68,16.46,385305357247274,73698560136,161844808351857,43603332221,0733c55c0b8dd650da45869c3803d671,
LD,aom,av1,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,39,33276.249231,35.666838,38.536185,39.196659,22.916838,19.265685,96.333421,94.705148,39.318179,35.368128,35.294565,38.420962,39.090586,0.001003,46039.10,11.26,362629450514765,59491519682,156410670681372,39300930158,d870e9a8fac43306a8ba3411afbc1d0f,
LD,aom,av1,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,47,20442.649231,33.482622,37.356520,37.889142,20.703163,17.495786,89.806865,88.008940,35.675582,33.970171,33.099328,37.265345,37.794742,0.001520,47717.06,10.70,298801704438932,46547876055,123667922494075,28336894523,9b09db84c9df6755357ae105d9d87804,
LD,aom,av1,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,55,12731.160000,31.337313,36.209841,36.658651,18.173478,15.495350,80.218661,78.294737,32.089500,32.547548,30.931669,36.142485,36.581331,0.001824,38918.25,9.34,246090629413668,36981207071,100841488885500,23430606249,01e26cefd246bdba8a4adfe07114d0c4,
LD,aom,av1,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,63,4543.190769,27.337248,33.914601,34.233687,12.829660,11.207044,55.885966,54.291779,25.911561,29.532667,27.004009,33.889994,34.198130,0.004397,29631.56,4.85,186791800965146,20093503899,76934643974043,13090464605,d6d5caa70c2f2f32ab6ea598a4044d33,
LD,aom,av1,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,23,31545.138554,40.505739,42.900567,47.390549,22.603349,18.923353,92.279766,91.167556,43.133761,39.972532,39.986300,42.657735,47.237968,0.297138,114337.52,13.75,782686827125582,59918515913,319483765401822,38980706623,d1a20a275c7e271b5136c6959be1600f,
LD,aom,av1,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,31,11500.188427,38.662408,41.414396,46.554348,19.366490,16.271363,88.002114,86.645050,39.695293,38.570232,38.359246,41.242879,46.482555,1.843254,76368.21,7.80,495157667095026,33844411772,198085228767582,20859973867,985712badeb83732962acfaa972b7937,
