TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
RA,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,23,30903.394452,42.708403,48.934086,48.880939,30.177455,20.727385,99.973621,99.965428,43.690257,43.481002,42.676247,48.917595,48.865979,0.716727,130156.88,20.34,881444400956391,81172712484,337776453858117,54786235456,24e116502c5aabf69bba5d30e406d290,
RA,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,31,13628.942135,42.129009,48.216282,48.014586,28.704524,20.053825,99.969643,99.630478,42.547837,42.901675,42.113989,48.206518,48.004919,1.210773,108320.23,15.99,734874289284318,60288314989,281253056485959,43398476241,b57769a5143391b3ec9da8bd98eda58a,
RA,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,39,7697.638976,41.581070,47.374770,47.027407,27.601622,19.569334,99.691059,97.955975,41.536944,42.312479,41.571621,47.367849,47.019830,1.259644,89691.67,14.34,598417235214747,53039252811,233104417884679,38999695039,8d95f424f5a8a4b60b3427e3a5136d58,
RA,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,47,4903.576424,40.883249,46.492937,46.010590,26.264584,18.979947,97.209411,95.215054,40.244886,41.670342,40.871728,46.486661,46.002678,1.279081,52474.43,12.77,345400280673672,48932332382,136644408976944,35000640581,c3b52b9c61029e6da48f7651622654c6,
RA,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,55,3204.406670,39.893929,45.469863,44.840594,24.562649,18.170293,93.166974,91.030891,38.510912,40.867143,39.876322,45.463816,44.832703,1.309150,25762.91,10.06,214438209924129,42492816560,87760317141026,35870688868,461dd49d0708766891d5bd657b81a705,
RA,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,63,1339.898256,36.910498,42.752330,41.935064,20.298906,15.718796,78.493583,76.157027,34.069684,38.516644,36.870134,42.749352,41.931177,1.433816,15193.25,9.82,97581983530832,35212193133,39649070730343,27081546091,d099d957647f92891a7fb03c6f932484,
RA,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,23,22574.599554,42.906172,48.853090,52.384335,29.212725,20.247513,96.504009,94.814793,43.506885,43.797705,42.885791,48.844067,52.375775,0.295166,119043.94,19.01,810746133899203,74805855086,308951313603899,51664596095,ea04c8235fc5c512803835d7f30fdabf,
RA,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,31,11681.137324,42.564058,48.481706,51.889588,27.675982,19.769987,94.134479,92.339650,42.661092,43.450748,42.556830,48.476467,51.883278,0.320131,113499.88,16.94,771524484096224,64132338227,294932932877067,46405148860,6050279100abadab3a02a1947d02fc0e,
RA,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,39,6603.328979,42.127679,48.031403,51.251908,25.972288,19.203513,90.568288,88.718407,41.612216,43.022316,42.118976,48.026607,51.245297,0.308524,86021.25,14.84,572410477026271,56301032895,223812818230582,40813522607,9f81198de9d261fbb020b9d36dae3420,
RA,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,47,4210.263583,41.531164,47.494983,50.487557,24.043092,18.498565,85.505983,83.625523,40.346801,42.488296,41.512481,47.488551,50.478353,0.298519,52605.60,16.73,347892864232508,50534941541,137241943208564,46279832947,f34b01433bbdd41e5f62b01516bcb4cf,
RA,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,55,2748.091293,40.678446,46.783081,49.533373,21.901480,17.603018,78.319333,76.466288,38.799142,41.769638,40.642239,46.775525,49.520923,0.287208,31218.61,12.17,203061095952919,46346503565,81559013679700,33614635185,89faf75a1a79cdf3be2cea6ea10e117b,
RA,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,63,1165.725352,38.367760,44.926582,47.192094,17.663371,15.402036,60.173504,58.340677,35.417823,39.856709,38.290419,44.919735,47.181730,0.320928,12270.28,9.87,76054116536395,38469661565,32150180119745,27145147231,425e6d6dde272f2c2df938b66e98f3a3,
RA,aom,av1,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,23,35314.861139,43.464081,49.278771,49.385883,33.119818,23.237443,99.967818,99.958602,45.426341,44.418964,43.388909,49.205997,49.302832,0.015795,86949.01,23.59,624595779347030,83300077893,243085475776975,68096950250,c97d13a3dfae04cea79e86c75abe40a5,
RA,aom,av1,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,31,21536.721740,42.777829,48.214184,48.326394,31.547253,22.391189,99.959446,99.948836,43.890520,43.627724,42.717375,48.146427,48.245587,0.017142,86470.32,18.24,580096105399108,71524076648,224442902114928,49095279958,e9715e46473b2271ee87edea1b39c1c7,
RA,aom,av1,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,39,13831.583801,41.857285,46.936681,47.096018,29.497296,21.242050,99.947864,99.935454,41.888435,42.629248,41.805805,46.870396,47.014781,0.017538,68935.66,16.11,487595361780067,65451460691,192814992526369,46867631397,532ad8cd4b5fba2a41dc3ec291dfe8af,
RA,aom,av1,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,47,9356.396219,40.690944,45.687989,45.911283,27.164531,19.872032,99.799079,99.445359,39.668410,41.528163,40.643063,45.624231,45.832313,0.017122,40229.61,11.17,338203818817401,59140973832,112372046348899,31188211475,f98ff3c6d5da8def22bd62e062b304ca,
RA,aom,av1,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,55,6313.329747,39.203126,44.287962,44.593122,24.535398,18.221398,96.747002,95.009687,37.214041,40.198516,39.156927,44.227618,44.516035,0.019054,35998.06,13.51,233713104080521,53808592686,93614394419574,36759005730,729f15b1bf1486bdd585a9fb938633c2,
RA,aom,av1,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,63,2598.311227,35.335860,41.061575,41.382124,18.849117,14.163890,75.568220,74.021449,31.903301,36.777867,35.280018,40.999297,41.304779,0.020343,18954.85,11.12,122975304139236,43928700019,49352847257294,30257682765,3afecdb53ee21407425b18ffcf060220,
RA,aom,av1,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,23,54102.010605,46.086102,49.714649,49.101368,30.124749,23.727343,99.975563,99.970203,45.318872,47.740482,46.035768,49.555614,48.943576,0.972134,69241.90,32.59,446813539233897,145477132923,179947411239844,88532133823,512156816265fc609b998972185d57e3,
