TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
STILL,aom,av1,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,15,5981468,48.982199,49.977479,51.047554,50.879993,34.674825,97.027989,96.414342,54.491473,48.143526,48.982199,49.977479,51.047554,0.000000,385.45,1.24,1978635934510,6914893325,1003033987368,3701772656,4c87d86824ee971ed070fd1d181b14b3,
STILL,aom,av1,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,23,5088601,46.461369,48.206386,49.880436,48.555040,32.141928,96.818509,96.071963,52.758796,46.111759,46.461369,48.206386,49.880436,0.000005,371.26,1.16,1927315323971,6370407320,965911356449,3461266707,13649a3258b0c30938191b9cab2be485,
STILL,aom,av1,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,31,4093710,43.408006,46.162667,48.413020,45.516990,28.995181,96.391465,95.474987,50.067276,43.716547,43.408006,46.162667,48.413020,0.000027,363.69,1.05,1913199378660,5713685766,946689057250,3133170026,978c06385d1fdba237fc73508e2f2a2d,
STILL,aom,av1,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,39,3106166,40.118852,44.257992,46.970873,42.273335,25.577142,95.570760,94.492446,46.820889,41.209658,40.118852,44.257992,46.970873,0.000245,348.92,0.91,1897811956317,4940151309,907568403569,2714846747,e4351fcebac4b43f8430fc571ad6d5e5,
STILL,aom,av1,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,47,2283765,37.273506,42.617377,45.550166,39.311364,22.605137,94.437338,93.152903,43.499992,38.927700,37.273506,42.617377,45.550166,0.000570,312.68,0.79,1885166348387,4582769894,876461135875,2502542098,ee40bdbe1188b431320826af73eff15b,
STILL,aom,av1,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,55,1620667,34.843585,41.237152,44.297328,36.463099,20.156194,92.779609,91.216862,40.366348,36.959447,34.843585,41.237152,44.297328,0.000977,240.41,0.58,1837059922848,3785842691,817487695471,2208191267,c625fa4434cbf7b13bb7ba403380198b,
STILL,aom,av1,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,15,4157874,48.875355,50.707337,51.068246,46.108781,31.457157,96.644158,95.915814,52.750775,48.224517,48.875355,50.707337,51.068246,0.000014,356.71,0.93,2021011388153,5343827588,998591459264,2942472239,5545c6a0d1c09d3d67578b617e77f90e,
STILL,aom,av1,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,23,3334264,46.377074,49.623259,49.991266,43.960600,28.877544,96.254578,95.401692,50.903652,46.494610,46.377074,49.623259,49.991266,0.000072,348.08,0.84,1991675204869,4780716610,975395261948,2662838768,5078e784ce6544c6b2120d149b25eb18,
STILL,aom,av1,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,31,2430574,43.383200,48.340840,48.738489,41.111107,25.769443,95.486767,94.492529,48.193799,44.442149,43.383200,48.340840,48.738489,0.001255,356.71,0.76,1999124034702,4049733996,927442337044,2237796926,f81d856a5e7710a97822f1ffb0ba407b,
STILL,aom,av1,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,39,1619931,40.443194,47.156015,47.630055,37.883982,22.664793,94.374129,93.073994,45.009141,42.399830,40.443194,47.156015,47.630055,0.019849,328.06,0.56,1910651966553,2954513906,853445415682,1625551829,0f48140185c85cb47338bceefc15f20b,
STILL,aom,av1,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,47,1048413,38.143769,45.999935,46.585674,35.035691,20.059353,92.634834,91.067550,41.882963,40.661043,38.143769,45.999935,46.585674,0.194655,222.62,0.41,1739362787276,2614044819,756844698136,1508789449,2d3a3ae9d927989a62b26e20b7be42b3,
