TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AI,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,15,172548.827173,43.946883,49.404813,49.085068,32.761496,22.244900,99.858081,99.815565,45.837331,44.254558,43.946858,49.404754,49.085022,0.041190,6194.08,7.66,38792055960948,37813377893,16138646416922,20728950097,ff635b960ab31b723b534e0f437e0acb,
AI,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,23,90680.391608,42.430886,47.767448,47.259505,29.527796,20.324350,99.812069,99.757174,42.894087,42.818252,42.430853,47.767354,47.259479,1.059685,3342.88,5.64,27251643654408,29614712723,11416788270381,20196159703,73b30539d1dd41ca0c2c55391ea1369c,
AI,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,31,53833.718282,41.160122,45.944810,45.282567,26.666748,19.003454,98.398769,96.410892,40.468164,41.474795,41.160093,45.944626,45.282475,1.226084,3216.18,5.12,20054787622137,26201204657,8412756282904,14139537127,a58391b255e51af429493a76e584cc93,
AI,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,39,32140.643357,39.515290,43.980247,43.233637,23.622881,17.455018,91.945497,89.578809,37.660263,39.944260,39.515271,43.979851,43.233470,1.327289,3048.36,4.48,19018200356495,23590381881,7984309319520,12454683253,8c810a8cec82c20e1e1dc361ef71d8df,
AI,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,47,18923.204795,37.450332,41.927176,41.183229,20.447304,15.629129,81.139831,78.537642,34.596631,38.213413,37.450294,41.926496,41.182886,1.383570,1843.25,3.53,14947388505330,20992505028,6335191203296,12883829212,03e0ed7784235fa92aff5ca6ddb1cb4b,
AI,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,55,10496.895105,34.943549,39.778806,39.249541,17.092945,13.511082,65.076474,62.489557,31.332354,36.203352,34.943428,39.778069,39.248732,1.481020,1510.21,3.77,12141388077366,20641090271,5203625999389,13929965082,f76568dd37f962cfc96ecaed0b732237,
AI,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,15,68199.208791,43.504150,49.403571,52.735006,31.812124,21.137682,98.791497,97.335482,44.959259,44.270534,43.503707,49.402995,52.734622,0.044211,6428.09,4.78,41723866074428,23554774962,16734353892506,12962489215,e970cfb7829edfb0e6c532def7083ba2,
AI,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,23,32853.914086,42.906089,48.650725,51.930155,29.087399,20.152358,96.013159,94.361748,43.358594,43.661875,42.904444,48.650015,51.929670,0.314584,3604.24,4.72,23132729088694,21984217174,9417829793437,13041398016,5c14d1cb23b64480f3c96c994e8c6521,
AI,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,31,19615.728272,42.341765,47.746755,50.788120,26.400330,19.335859,91.427419,89.506291,41.904224,42.996413,42.337888,47.745883,50.787423,0.320430,2512.28,4.20,15798150509237,20755790164,6587833182837,11708792223,18c064e34bec36b3b42dd8cbf1c27ca4,
AI,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,39,11735.832168,41.478963,46.561604,49.297945,23.278342,18.176791,83.392944,81.229323,39.995445,42.073081,41.471691,46.560689,49.297083,0.307607,2126.44,3.85,13306957986928,20294261136,5590108545032,10801304962,c2c4b41056cc2afe1046e14a77476197,
AI,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,47,7086.433566,40.246328,45.135961,47.537878,20.005123,16.688455,71.243204,68.851292,37.797298,40.848446,40.236241,45.134773,47.536476,0.335395,1615.68,3.16,10108592674685,18021791818,4262344317837,8957507474,2305c09411c6cdcf65fe4c1bb5937eaa,
AI,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,55,4166.585415,38.493587,43.268503,45.179222,16.663840,14.877002,55.450332,52.812389,35.287214,39.073077,38.483358,43.266704,45.177600,0.426594,1219.07,3.14,7558447013861,16645390259,3220441541974,8719807169,265916ae2c656ac4bcd7183c5f3919b7,
AI,aom,av1,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,15,165425.902098,45.027863,50.067505,50.326920,34.909254,23.964690,99.804995,99.756565,46.995272,45.583361,45.027771,50.067063,50.326677,0.007299,6402.58,7.23,39635263518046,36396723980,16679981604786,19528795828,406fb29dc8371d35a3a229864d78629d,
AI,aom,av1,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,23,106882.573427,43.638044,48.075154,48.500095,31.237862,22.082944,99.727242,99.671664,43.773910,43.973487,43.637987,48.074701,48.499706,0.008858,3780.10,5.25,30783814238504,31385177537,12895836305809,18701442239,2debabd493df2870c99614f295c57858,
AI,aom,av1,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,31,66934.105894,41.840620,45.772903,46.353598,27.075742,19.789783,99.566365,99.502270,40.241652,42.026938,41.840515,45.772465,46.352842,0.011822,3776.50,5.58,23678339609979,27914660933,9868860951669,15234380059,4e9fd3ceb3d502a76c261c1b2af00973,
