TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,23,15490.307846,42.334258,48.748016,48.586845,29.097149,20.250336,99.950855,99.886934,42.917103,43.264447,42.327736,48.740093,48.578285,1.207431,78363.39,12.39,676329647973336,62302875721,218874827181756,34542593789,159a517fbc8ef28aa44b7e89ad3e4e4d,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,31,9110.616153,41.913012,48.087784,47.795158,27.978031,19.862778,99.944588,99.021850,42.121076,42.797340,41.905761,48.077894,47.783227,1.332531,92933.53,14.29,679084444036356,55009560811,260096131360743,41719613218,12188dc46c981b7b6eaeff30dc842805,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,39,5602.038577,41.295550,47.154852,46.703634,26.658963,19.337872,98.789670,96.753259,40.963516,42.153185,41.285562,47.142252,46.686686,1.378154,70699.52,12.97,470745936088005,49581655320,183762063548278,35295626249,b901698586e365a4c71a4ee86ca5201d,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,47,3576.968263,40.422132,46.047182,45.467367,25.041257,18.601432,95.356711,93.231828,39.384759,41.354559,40.407183,46.033247,45.448677,1.422237,43394.07,11.50,284485621311321,45581956215,113258730360258,31494184306,a7ddf2b56ab3d2508c5f02b3f1b98d5d,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,55,2258.629985,39.135904,44.732832,43.998523,22.999890,17.541010,89.815023,87.566752,37.255691,40.292818,39.113691,44.718036,43.979834,1.502025,27073.35,9.97,187453232654276,40938871179,76063913061488,29364634297,b62800ef233e9aff5c18bd2fa704a253,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,63,808.194882,35.192089,41.322352,40.427021,17.889837,14.344224,68.351704,65.988595,31.827272,37.128632,35.156126,41.313418,40.415041,1.553811,14349.07,9.21,90773920113282,33545727800,37508058880465,25333678949,f3b3d836399ad6226ed224d8e879d54a,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,23,9392.179513,41.645930,47.227544,47.192898,28.325182,19.929764,99.931271,98.626054,42.233956,42.543551,41.640096,47.221451,47.184295,1.334660,31967.27,8.09,229621314531673,31872786828,89419306629343,23313968645,e730374d886416885ecd883bef43184a,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,31,5988.358718,41.178242,46.590582,46.381678,27.194075,19.482769,99.325319,96.869738,41.246444,42.055313,41.170692,46.582812,46.369835,1.370705,38036.64,7.20,252723997266991,29024934721,98829346878961,19433400088,7d9c3921fdceb770ed4e5e6dbfead365,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,39,3806.470453,40.442010,45.719657,45.319164,25.702862,18.812867,96.413678,93.837082,39.783453,41.373821,40.430428,45.709676,45.303680,1.399559,28816.16,6.40,189191073780143,26231617254,74986848826267,17391292190,598473a084fd18cb500e83902d071a46,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,47,2458.527319,39.405414,44.685235,44.092008,23.879220,17.897722,91.715347,89.175716,37.918314,40.503694,39.388770,44.674927,44.076600,1.444104,19404.81,5.71,125163123015211,24436048133,50522501357178,15540331238,b6c0366db1f17ed01028da7c00963c02,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,55,1534.402828,37.914950,43.428812,42.644312,21.633892,16.629938,84.248681,81.725272,35.550699,39.342397,37.891452,43.418765,42.630265,1.469410,14181.76,4.53,91457863067677,19282943156,36935488112760,12366701666,85af5ed8835479fc15458d136686acb9,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,63,535.535849,33.698235,40.230502,39.390053,16.267614,13.187211,58.436750,56.081095,30.034432,36.108238,33.661826,40.223648,39.384010,1.435312,8401.27,4.00,53844166415012,16196016379,21915760278160,10905098600,d8db37fdca39630e6487655abf11bdb8,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,23,6968.126028,40.753424,46.038569,45.792899,27.731591,19.515644,98.634429,96.103141,41.346598,41.857596,40.748466,46.034344,45.784611,1.402295,18635.18,4.84,122781477534777,20447477962,48406092344624,12873920088,8bd4ff50a07a2eb7cbcda1dce004f295,
AS,aom,av1,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,31,4511.240144,40.243957,45.444326,45.053540,26.458093,18.979501,96.575099,93.881136,40.172469,41.341039,40.237128,45.439274,45.043202,1.431184,20351.75,4.45,134526804517637,19118820313,52870794090149,11956387613,94aa8fc2ae2191c8ba36046ef9ca26dd,
