TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
LD,aom,av1,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,23,10407.162069,42.151038,44.475406,44.108408,26.995600,23.349660,97.363188,95.336455,45.754921,40.498742,41.953434,44.421822,44.048073,0.000002,35228.89,5.21,232371201350064,25696539120,91417825221697,13622496500,962b0a5538281e44c808982e62821db3,
LD,aom,av1,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,31,4893.454853,40.237772,43.366570,43.269774,24.464413,21.154173,94.577038,92.291223,42.450487,39.165739,39.985288,43.317998,43.225122,0.000036,26498.80,4.78,175764031286538,19966155638,68794832960083,12596717157,5950f5601d337a9048ac10d0ee34e1af,
LD,aom,av1,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,39,2552.616614,38.238168,42.246757,42.454352,21.699411,18.802343,89.923820,87.490477,39.011421,37.741292,37.949991,42.193891,42.412115,0.000665,22519.27,3.49,147471353395902,15896832508,58448251921180,9242920961,5c66a09138720cdcd499a3694948d960,
LD,aom,av1,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,47,1416.901867,36.442418,41.440465,41.832887,19.217842,16.752665,83.126126,80.711847,36.072986,36.530772,36.132234,41.384622,41.793579,0.002654,11880.47,2.18,100090092053182,14896280505,33185959020258,6056699881,9e50a4521d024181f67aae71a885498f,
LD,aom,av1,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,55,708.347652,34.474261,40.341468,40.924273,16.349906,14.381847,74.029909,71.384868,32.981432,35.004610,34.208821,40.300865,40.895260,0.004289,10824.88,2.27,69981426061548,15127806606,28115415980186,6221089360,4fd8b5ea9c2ec24372fd528941588c75,
LD,aom,av1,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,63,227.458695,31.146158,38.379560,39.174067,11.378938,10.485870,50.494188,48.432145,28.142587,32.297479,31.009579,38.359092,39.159039,0.032209,6017.40,1.87,38822664169231,13312184448,15634332262065,5363350629,0ffff204fd7bee5d80ea9bd6fe388e30,
LD,aom,av1,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,23,28358.435411,41.959712,43.651163,45.759773,31.509864,27.602156,99.975266,99.949058,48.597278,41.663099,41.868520,43.579204,45.704149,0.132599,28538.39,8.55,236602044568317,42666912799,96876812382439,29646487496,9c4f9db38243b05047eb3ef1d9d6de82,
LD,aom,av1,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,31,16408.250211,39.071731,41.797113,43.868978,28.150670,24.635236,99.254565,97.612032,43.878082,39.589509,38.978766,41.735182,43.828789,0.170423,32698.58,7.77,209829293413471,34318067863,84894736480997,20612160633,55c4bc1abed1366558f0538f8ba7e787,
LD,aom,av1,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,39,9458.157842,36.101331,40.228654,42.225320,24.532637,21.481940,94.305847,92.471319,38.814908,37.529403,35.989792,40.172962,42.199205,0.169238,32539.24,6.70,207425733783095,27723792990,84452602960616,18010560753,ac5e84eff7ac5d684086218e99cd99b0,
LD,aom,av1,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,47,5410.702528,33.301353,39.124233,41.068494,20.999201,18.497034,86.146666,84.295354,34.100573,35.660501,33.151777,39.059434,41.045062,0.187595,28316.13,5.10,180439599998000,20958844104,73489264783729,13648770803,ba8a93af2c8fe0ed5e6e918fb3ffa653,
LD,aom,av1,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,55,2914.285714,30.411454,38.110453,39.652314,17.303928,15.293249,73.388205,71.611461,29.598234,33.528696,30.232799,38.047848,39.639190,0.195484,22760.55,4.11,143205291469631,14640526716,59089189174833,11088048215,f8657ef275710cdb831593d7cecc0f2f,
LD,aom,av1,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,63,949.468993,25.888785,36.372013,37.182677,11.479909,10.284730,45.385022,43.891154,23.198313,29.891646,25.626754,36.345120,37.177288,0.165249,11823.08,1.85,76598154117052,5873416064,30697453598530,4995866342,e854fef4e6b320ce97917de8e77eb893,
LD,aom,av1,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,23,69514.021538,39.150727,40.392570,41.096848,25.767515,21.680922,99.976345,99.970150,44.203331,37.527499,39.000354,40.301216,41.018395,0.000684,74463.33,17.72,469915265070525,84551740611,193130217938557,46665199058,4506f6a8fe17aa54923d103df7420d8c,
LD,aom,av1,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,31,36087.246154,36.357784,38.358123,39.055789,23.272125,19.500646,99.391422,97.712123,40.489898,35.524120,36.246821,38.288816,38.990582,0.001069,57453.12,14.35,361737516910635,65977005885,149225597189009,38224155403,2aa7e27b99d97a0b485133964e61b831,
LD,aom,av1,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,39,19045.403077,33.623019,36.729744,37.288557,20.676190,17.342826,92.724427,90.793504,36.222671,33.730059,33.514853,36.671257,37.227480,0.001211,54797.79,11.05,341513952014668,50942850129,142148253712246,29531761195,0cb532cf46630c6d4f6f227fc15b5099,
LD,aom,av1,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,47,10184.353846,30.989525,35.318979,35.821723,17.859472,15.060830,81.545715,79.566109,31.935648,32.018033,30.858006,35.261509,35.760963,0.001854,44850.78,8.00,285236215956469,39422737178,116264750574094,21435901576,5aaba08e159c88fd81766674d61a6e65,
LD,aom,av1,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,55,5145.440000,28.398043,34.079007,34.405949,14.714290,12.562483,64.885295,63.066743,27.752346,30.260605,28.244653,34.025774,34.348116,0.002643,33205.18,6.02,212305970147669,28711444233,86188235025688,16122290758,a80ff94c081392133970d8e3cde03917,
LD,aom,av1,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,63,1319.738462,23.892753,31.998477,31.988591,8.655595,7.836044,26.822784,25.988300,21.022550,26.814699,23.673414,31.952649,31.923987,0.008357,17541.38,3.03,110059632776082,12713026772,45553012686170,8244307422,73dc5d3fd83d13d794a95e20d6b7db9c,
LD,aom,av1,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,23,17606.747099,39.347132,42.153821,46.836052,21.098713,17.491235,90.889384,89.717777,41.367890,39.174877,39.195902,42.084664,46.792418,0.493409,121233.41,10.52,793040568512151,45650302424,314532887833409,27728310396,1f2677c149f4ac77d9498a4e941cb9cb,
LD,aom,av1,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,31,2598.910628,37.810847,40.685860,46.100605,17.820754,15.042778,85.591152,84.112335,38.076126,37.899125,37.756397,40.649790,46.085340,2.890128,66499.76,4.72,435761612632248,18795669080,172706196587332,12847466014,c62b5a36582d2ce635f43138bd7a6735,
