TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
RA,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,23,15490.307846,42.334258,48.748016,48.586845,29.097149,20.250336,99.950855,99.886934,42.917103,43.264447,42.327736,48.740093,48.578285,1.207431,99702.91,17.45,676326921964784,62832013080,258985632740502,47219026628,159a517fbc8ef28aa44b7e89ad3e4e4d,
RA,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,31,9110.616153,41.913012,48.087784,47.795158,27.978031,19.862778,99.944588,99.021850,42.121076,42.797340,41.905761,48.077894,47.783227,1.332531,77328.78,10.78,679083210249419,54525816133,216011001436548,30058001352,12188dc46c981b7b6eaeff30dc842805,
RA,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,39,5602.038577,41.295550,47.154852,46.703634,26.658963,19.337872,98.789670,96.753259,40.963516,42.153185,41.285562,47.142252,46.686686,1.378154,72310.74,13.26,470086485434995,49571758478,188230084315951,36174481289,b901698586e365a4c71a4ee86ca5201d,
RA,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,47,3576.968263,40.422132,46.047182,45.467367,25.041257,18.601432,95.356711,93.231828,39.384759,41.354559,40.407183,46.033247,45.448677,1.422237,43724.67,11.55,284485661370734,45581956792,114023707312140,31749422581,a7ddf2b56ab3d2508c5f02b3f1b98d5d,
RA,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,55,2258.629985,39.135904,44.732832,43.998523,22.999890,17.541010,89.815023,87.566752,37.255691,40.292818,39.113691,44.718036,43.979834,1.502025,26902.65,9.57,187453241259994,40938870735,75576058023163,28143378088,b62800ef233e9aff5c18bd2fa704a253,
RA,aom,av1,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,63,808.194882,35.192089,41.322352,40.427021,17.889837,14.344224,68.351704,65.988595,31.827272,37.128632,35.156126,41.313418,40.415041,1.553811,10966.50,6.51,90766262615238,33259539457,30633095098106,18092005793,f3b3d836399ad6226ed224d8e879d54a,
RA,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,23,12292.784139,42.637503,48.520970,51.944343,28.067273,19.866446,94.955061,93.191203,42.849300,43.513610,42.633488,48.516010,51.933594,0.336490,97755.29,16.98,660482082346662,64864482628,253936522503915,46302585794,0e1d5f988290cea989811b5198fcd2f2,
RA,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,31,7138.422193,42.233380,48.016152,51.228553,26.225622,19.307425,91.724952,89.860658,41.833833,43.066807,42.227082,48.009626,51.217726,0.329368,80013.47,13.04,698755367453821,59745473423,271950772606470,46590768413,1e2606bd8cd66674b3454c23c642260b,
RA,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,39,4330.615846,41.656503,47.353229,50.303896,24.140307,18.578817,86.918147,85.009312,40.555776,42.468802,41.644497,47.344957,50.291527,0.328277,68780.60,13.68,439820916931150,51922971846,179330752864903,37743667059,ee424226a60c5300b4f5eab035efb8e4,
RA,aom,av1,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,47,2703.964343,40.865714,46.561457,49.201479,21.946806,17.680966,80.356448,78.441624,39.061302,41.717218,40.843349,46.552054,49.185896,0.314518,34141.69,10.94,286111991496490,47743966981,116417932639920,39524466761,1ca23a3ee1d4815ee9150cb906470682,
