TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
STILL,aom,av1,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,15,3491565,41.431406,44.976168,47.560222,43.578421,26.966750,95.971559,94.949480,48.199774,42.203783,41.431406,44.976168,47.560222,0.000100,358.18,0.96,1926757305422,5267747571,931030565998,2867044085,0e9ed894fa3c76eedac487f6f193d979,
STILL,aom,av1,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,23,2525341,38.129952,43.073699,45.930289,40.195155,23.493399,94.834683,93.619930,44.520460,39.601276,38.129952,43.073699,45.930289,0.000609,340.44,0.90,1906057566576,4914225002,885715986923,2670710273,736e9ae313378fcddd8799e3759dc0b4,
STILL,aom,av1,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,31,1532496,34.500182,41.005286,44.087865,36.078245,19.818425,92.499761,90.857124,39.865286,36.671071,34.500182,41.005286,44.087865,0.001529,309.46,0.67,1824326954660,3659467120,805237616886,1968878013,1d93e6432d24c7d937301f42531c50cb,
STILL,aom,av1,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,39,870780,31.581360,39.050522,42.259902,31.540911,17.016887,86.850533,84.957672,35.233517,34.197314,31.581360,39.050522,42.259902,0.002843,408.93,0.50,2510770027965,2712062508,1067460931878,1450167440,5446499afcae33d327f8eb8b6058c58f,
STILL,aom,av1,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,47,511854,29.116320,37.164515,40.158261,27.233183,14.635770,76.544283,74.502386,30.838947,32.019108,29.116320,37.164515,40.158261,0.009690,311.21,0.42,1937272270366,2236058355,810990747748,1194012517,2729211fd648309113f522cfb431d7e4,
STILL,aom,av1,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,55,291282,26.636916,35.040809,37.199287,22.892932,12.075484,60.673180,58.715970,26.502024,29.725476,26.636916,35.040809,37.199287,0.016740,243.75,0.35,1536377300553,1885100680,635164178912,1006025962,afa140ba33734d631bd96c350ff1d2b4,
STILL,aom,av1,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,15,1921438,41.565298,47.620597,48.065097,39.276162,23.883122,94.831846,93.704699,46.334803,43.193699,41.565298,47.620597,48.065097,0.005906,343.83,0.64,1980352517406,3367924910,894430264665,1865592490,865284430e3507d1d25a1d43496bc934,
STILL,aom,av1,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,23,1205157,38.814911,46.337262,46.878107,35.857317,20.835372,93.191466,91.747084,42.842495,41.168710,38.814911,46.337262,46.878107,0.131452,301.50,0.54,1805137520521,2856597683,782496403336,1547670064,b9506a23d39ec47d7472b6d29950a1e9,
STILL,aom,av1,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,31,619585,36.011449,44.898371,45.579152,31.729501,17.491034,89.410336,87.611409,38.411401,39.009369,36.011449,44.898371,45.579152,0.573061,244.51,0.40,1506665530529,1951147026,635712000392,1108256214,b316631045dbf9f6df5d44262a6cf98e,
STILL,aom,av1,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,39,310320,33.841632,43.523121,44.185550,27.604391,14.717044,81.871267,79.811409,34.141914,37.188146,33.841632,43.523121,44.185550,1.221926,207.57,0.24,1544867338629,1487466992,579791580192,676585400,105e8fda9768b05db2757f27120ff601,
STILL,aom,av1,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,47,171605,32.083675,42.038460,42.538884,23.959762,12.595787,69.244738,67.405966,30.674004,35.523712,32.083675,42.038460,42.538884,1.787436,172.13,0.24,1081785972229,1291527447,448566550462,678628740,3c2e19768accd62c333928e52d9ebbb3,
STILL,aom,av1,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,55,98469,30.263482,40.261738,40.662864,20.359629,10.706417,51.830624,50.403256,27.612864,33.715263,30.263482,40.261738,40.662864,1.740348,128.92,0.21,817046984155,1178503829,335961533807,591650384,9f7f5b7f6ffb62de5ea8744c2bdfd22d,
STILL,aom,av1,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,15,485748,46.534121,52.668967,53.411066,36.591082,23.521118,94.676947,93.036478,45.052254,49.097448,46.534121,52.668967,53.411066,0.055072,188.98,0.33,1146533264054,1558248566,491869194728,889362979,d42e231a1ef2d4feee32615059439603,
STILL,aom,av1,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,23,328632,44.550865,51.428351,52.196127,33.437920,21.201029,92.842792,90.944030,42.421389,47.227834,44.550865,51.428351,52.196127,0.112243,150.94,0.27,923911329302,1307893739,393181657980,750903652,87472b5e0989506c68d2e36945a05158,
STILL,aom,av1,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,31,195573,42.086908,49.786559,50.712296,29.429822,18.387701,88.507302,86.465515,39.152089,44.953780,42.086908,49.786559,50.712296,0.397759,117.13,0.24,721746807617,1139271833,305567980576,665223062,f442e4ec2e3a8168ca0236edaf32bf87,
STILL,aom,av1,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,39,106020,39.561805,47.797486,48.904834,25.034535,15.687241,79.787704,77.806429,35.982458,42.594616,39.561805,47.797486,48.904834,0.647867,114.66,0.20,718851578535,1028439530,299344667801,556271940,7bec72fbfa3f8aebc292b71f862e108c,
STILL,aom,av1,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,47,57050,37.394766,45.816532,46.942598,21.087468,13.619408,66.977510,65.233510,33.454513,40.528352,37.394766,45.816532,46.942598,0.777869,79.68,0.20,532362834341,1067690471,224463951214,598590015,7dfdf54d47dee37d6b56e7c5e1a10254,
