TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,Res,FPS,BitDepth,QP,POC,FrameType,Level,qindex,FrameSize,PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,CAMBI
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,0, KEY ,1,133,394245,44.167236,49.612787,49.273050,33.169325,22.522250,95.877110,94.609912,46.265466,44.419024,0.019253
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,1, KEY ,1,133,394009,44.175787,49.610539,49.265817,33.155384,22.528943,100.000000,100.000000,46.270214,44.413128,0.016051
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,2, KEY ,1,133,391793,44.180487,49.637471,49.286191,33.194638,22.535658,100.000000,100.000000,46.278621,44.439813,0.015148
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,3, KEY ,1,133,392022,44.190613,49.639434,49.271713,33.169862,22.548092,100.000000,100.000000,46.270449,44.450915,0.017157
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,4, KEY ,1,133,391590,44.188139,49.615842,49.274925,33.198962,22.548598,100.000000,100.000000,46.277259,44.436832,0.013681
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,5, KEY ,1,133,390900,44.202882,49.614350,49.283524,33.178464,22.567291,100.000000,100.000000,46.312490,44.445526,0.013396
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,6, KEY ,1,133,391321,44.210070,49.637930,49.306632,33.214128,22.574575,100.000000,100.000000,46.311331,44.473665,0.016680
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,7, KEY ,1,133,391289,44.190486,49.608653,49.287438,33.190859,22.555096,100.000000,100.000000,46.288995,44.451280,0.011456
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,8, KEY ,1,133,391755,44.200872,49.622469,49.284931,33.189240,22.560289,100.000000,100.000000,46.291190,44.476983,0.012801
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,9, KEY ,1,133,391195,44.199394,49.620143,49.319425,33.210332,22.571022,100.000000,100.000000,46.303364,44.471095,0.014824
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,10, KEY ,1,133,391654,44.205957,49.603640,49.318651,33.187622,22.571503,100.000000,100.000000,46.308446,44.469437,0.014173
