TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,Res,FPS,BitDepth,QP,POC,FrameType,Level,qindex,FrameSize,PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,CAMBI
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,60,0, KEY ,1,60,5829949,48.664595,49.608824,50.779530,50.315953,34.279346,97.002981,96.367868,54.184410,47.789423,0.000001
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,85,0, KEY ,1,85,3785142,42.476508,45.519323,47.927076,44.408163,27.956829,96.181000,95.222470,49.097888,42.975700,0.000055
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,110,0, KEY ,1,110,1988344,36.255440,41.933823,44.960352,37.944835,21.500653,93.768964,92.425957,42.138281,38.100567,0.001028
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,135,0, KEY ,1,135,903286,31.790799,38.963627,42.151748,31.703750,17.174293,87.506277,85.573937,35.517230,34.346757,0.002576
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,160,0, KEY ,1,160,413235,28.241287,36.131041,38.989745,25.482915,13.707123,71.334290,69.253206,29.255539,31.160502,0.007614
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,185,0, KEY ,1,185,175417,24.683040,33.475200,36.292655,19.403704,10.003948,45.167778,43.515544,23.404161,27.998114,0.031289
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,60,0, KEY ,1,60,4005448,48.513250,50.462542,50.814962,45.667085,31.050572,96.586203,95.844360,52.442923,47.912293,0.000004
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,85,0, KEY ,1,85,2152307,42.459444,47.878689,48.291382,40.130655,24.800901,95.125842,94.093534,47.240272,43.771096,0.002803
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,110,0, KEY ,1,110,864144,37.316956,45.473747,46.090279,33.704139,19.083738,91.749031,90.079060,40.649240,40.001915,0.346440
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,135,0, KEY ,1,135,324369,33.983010,43.569091,44.214080,27.825695,14.898929,82.993376,80.881942,34.488233,37.308032,1.165243
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,160,0, KEY ,1,160,140374,31.463066,41.485175,41.909464,22.627201,11.933219,63.833562,62.178382,29.616113,34.925385,1.701084
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,185,0, KEY ,1,185,61872,28.771683,39.017600,39.089802,17.424811,9.266979,37.686320,36.593377,25.453560,32.268059,1.564084
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,60,0, KEY ,1,60,1071863,50.898817,55.333826,55.900868,43.399245,28.906689,96.428963,95.270728,50.400724,53.683815,0.016693
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,85,0, KEY ,1,85,537869,47.058535,52.915745,53.621674,37.477434,24.143534,95.080968,93.511692,45.755698,49.567202,0.046490
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,110,0, KEY ,1,110,255597,43.310450,50.503849,51.425496,31.412531,19.759272,91.179375,89.163534,40.770770,46.050671,0.223953
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,135,0, KEY ,1,135,110771,39.728503,47.807678,48.963549,25.374675,15.840847,80.798792,78.756765,36.176017,42.745616,0.626851
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,160,0, KEY ,1,160,45055,36.649001,44.651114,45.846746,19.788816,12.993560,61.529019,59.988774,32.627896,39.684560,0.783304
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,185,0, KEY ,1,185,19730,33.908714,41.044391,42.301886,15.076288,10.819416,41.500076,40.258836,29.647490,36.743155,1.136199
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25,8,60,0, KEY ,1,60,2868229,48.576782,52.569453,53.250504,41.061245,29.033222,97.185584,96.606622,49.867943,49.757606,1.202342
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25,8,85,0, KEY ,1,85,1476649,43.399457,49.978235,50.645125,34.974227,24.116150,96.741095,95.821729,46.036525,45.618917,8.814626
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25,8,110,0, KEY ,1,110,799134,39.561849,47.183563,47.898819,31.566454,21.979732,95.028313,93.685455,43.069829,42.587721,11.285996
