TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,188343.464535,44.205552,49.607563,49.298210,33.231707,22.580334,99.862570,99.820330,46.307729,44.467772,44.205528,49.607515,49.298178,0.016629,9374.41,9.40,54424519659127,48084633496,24429869619284,25524257920,493a465814b70d4e493170a2b417c24c,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,70625.470529,41.858483,46.909589,46.322379,28.190022,19.700728,99.770356,98.660956,41.766375,42.186541,41.858455,46.909433,46.322346,1.170325,3922.33,5.69,29805811219535,35997704277,13406750647522,20501277350,765dfe36b126e869ec29d5733140a556,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,35440.927073,39.848500,44.265591,43.534322,24.206546,17.767947,93.469246,91.140450,38.188296,40.186640,39.848480,44.265271,43.534176,1.328654,4144.05,5.59,24587341278094,30102694255,10870433835515,15573024558,074cb85076496a5873f76805c11e4233,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,17214.753247,37.054836,41.395601,40.689729,19.924664,15.301804,78.862984,76.241275,34.043006,37.778934,37.054769,41.395035,40.689278,1.389969,2620.55,4.45,16714575395016,25559123591,7424817682678,13460962268,9ecd94fdd8bd94edcfb962e7b595ce7b,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,7852.467532,33.731367,38.655387,38.291440,15.646546,12.549834,56.612188,54.127832,29.871449,35.030871,33.731224,38.654603,38.290395,1.211520,1958.42,3.96,11650463095824,21527989354,5186867798734,11302881977,2ad9ffc3e042caf882239bae480ab4ab,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,3337.366633,30.365952,35.562379,35.508461,11.828632,9.964880,32.030744,30.136254,26.074202,31.737063,30.365661,35.558758,35.505997,1.250773,1492.95,3.33,8898898605552,18784774962,3976965328029,9577363355,59f37f5656f0a08c9cbf5cafe8e602c3,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,79179.428571,43.661839,49.505163,52.819049,32.251641,21.383415,99.128621,97.706623,45.314465,44.391441,43.661508,49.504561,52.818666,0.025483,9498.04,6.01,57749023367310,32308964001,24743078887935,16298559093,e530426cec02598cc7d09450a44f616f,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,25892.315684,42.676037,48.247214,51.425038,27.960933,19.816361,94.275726,92.498007,42.750217,43.376325,42.673527,48.246377,51.424479,0.323304,3592.99,4.97,22693088364494,26256368726,10133000561648,14862226050,07b066910ecb76f160926b8804815ca1,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,13048.167832,41.688277,46.775678,49.546178,23.993185,18.451349,85.437779,83.330127,40.413600,42.263885,41.681767,46.774843,49.545581,0.312169,2720.33,4.18,16044517672236,21994728860,7165521205306,11880471703,71a30fd4ac3d5a49f801469f2426e4cf,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,6568.119880,40.041085,44.739976,46.991778,19.616585,16.467562,68.960925,66.604371,37.446822,40.541308,40.029936,44.738519,46.990421,0.345318,1874.45,3.32,11049640044175,18977002668,4971090377205,9506545537,450b8d8d23b1eb7487123894ec2b9635,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,3283.196803,37.664045,42.029273,43.581525,15.398519,14.114848,47.633162,45.109699,34.197262,37.965339,37.653446,42.026905,43.579864,0.443262,1450.43,3.16,8437625729459,17901679032,3875823443446,9083231280,b3c058371d22a391d30e664585e928a6,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,1579.300699,34.661899,38.372171,39.010682,11.677666,11.664533,25.780842,23.746815,30.728873,33.877445,34.652642,38.368027,39.006499,0.648383,1191.99,3.00,6926723783782,17278281904,3205182837120,8663957572,96b5d0dd2a9d2b71c11928bcc06cee2e,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,176308.043956,45.226916,50.309263,50.547070,35.416831,24.228347,99.815939,99.767313,47.452285,45.795886,45.226825,50.308816,50.546862,0.007165,6827.96,7.49,52233111348864,47287356567,23246718461789,26657057105,ffa4c6ff93c781d8e08084e2364ead35,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,86763.540460,42.875758,46.998479,47.489068,29.381908,21.091207,99.670845,99.610954,42.181154,43.099071,42.875697,46.998067,47.488506,0.010853,4101.50,5.98,31478913251188,38405345538,13999855538054,21526714391,9fe85f7902f7642cfd53aa1292e93075,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,45080.455544,40.068331,43.864256,44.465456,23.662993,17.706052,96.617845,94.597781,37.365117,40.258824,40.068124,43.863836,44.464264,0.013810,3450.33,5.25,26630735003809,32448887073,11797784229490,19112952210,1965f66131b2dcbe0a74282cd1e5d34d,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,21891.564436,36.625851,40.919386,41.389627,18.123506,14.019278,75.955573,73.985920,32.784534,37.145598,36.625317,40.918118,41.386839,0.032246,3045.81,4.90,18309836045052,26829673630,8005778209149,13743974135,c8a2c4c98497caa94631af87778c7a4f,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,9889.742258,33.058990,38.031615,38.336534,13.242499,10.621763,49.380803,47.938175,28.717953,33.938467,33.058280,38.029658,38.333248,0.099006,2215.29,3.97,13208303509882,21685965999,5851411323907,11266674318,a66805954c3cb0fbcc7684a80f19e2e0,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,3959.176823,29.615961,35.412336,35.301481,9.077019,7.762914,28.099441,27.239837,25.184109,30.700072,29.615567,35.411073,35.297719,0.265816,1646.07,3.16,9900277126656,18451291059,4369639226692,9070956544,71a6c9401a888319c1eb2fb3a758e6df,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,85,84204.795205,47.957566,52.011643,51.709338,33.780200,25.754931,99.875422,99.841601,48.373337,49.798197,47.951629,52.002011,51.669300,0.978731,6528.06,9.53,36673967263832,48395688420,17030554974063,26030346095,dba67da3b6cd441ea5acd8af9e0732c9,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,110,39925.178821,44.107377,48.497099,48.061774,27.965743,21.712838,99.784755,99.736241,43.212081,46.414565,44.094779,48.487417,48.016743,1.212334,4677.40,7.33,26555837129407,36978957842,12233455789804,20274493931,bd2fc5911dea28ce212aa0a09b935082,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,135,19061.818182,40.839533,45.099809,44.604458,23.382559,18.911340,98.568503,97.261019,39.121386,43.469233,40.823905,45.090577,44.556405,1.639879,4130.33,5.89,24508631075588,30377860490,10816874661033,16439177388,158492be035d0c9f8c8bee19bdcd6307,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,160,9318.481518,37.595135,41.521280,40.976297,19.318952,16.207166,86.404143,83.910435,34.776205,40.338782,37.577331,41.511878,40.923857,1.980930,2944.97,4.90,17757308690911,25945313108,7738846878902,13807111183,224e021f9a687a7fcac0d8dc9dc7ffad,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,185,4408.079920,34.100747,37.850750,37.198931,15.318061,13.340535,64.279663,62.055562,30.324909,36.788113,34.082311,37.840173,37.140365,2.031347,1632.75,4.10,12642494642450,21935688975,5631551489193,15206578707,82ac14bdf037c6a49332cfb17261ff36,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,210,1913.854146,30.616713,34.111673,33.319442,11.464749,10.559597,37.383973,35.928838,26.194978,32.990920,30.597767,34.096825,33.245618,2.225957,1181.30,3.42,9250102743371,19106557863,4089106255140,12865326273,8fceefbc6371adaab638f9d3a30f7f7d,
AI,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,85,192753.104000,49.096066,46.047353,49.488987,32.447565,24.958179,99.534439,97.639831,47.556453,47.092664,49.095433,46.046944,49.487844,0.265762,8112.99,9.78,47570645832331,49998350666,21141925287818,26569480380,3ad0111bcd63a1b0f50f61e6d3d80bd1,
AI,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,110,90498.432000,44.882846,42.091656,46.250993,26.316355,20.434916,93.020881,90.923682,41.677118,43.418218,44.882302,42.090821,46.249417,0.491763,5363.95,8.95,32054864559170,43540595295,14010433166726,24591329985,0e5862b2090664282809fd316dcafca6,
AI,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,135,39129.696000,40.847625,38.955144,43.832351,20.579408,16.248034,77.699099,76.035522,36.672294,40.337558,40.846939,38.953491,43.830932,0.745995,4689.19,7.38,28531210239767,38294097709,12263111839726,20483434745,573c4750a51f5a37d5949506ffc96c16,
AI,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,160,14962.112000,36.989627,36.771208,42.148648,14.955029,12.287960,51.820576,50.655400,32.358216,37.619120,36.988944,36.769519,42.146889,0.913206,2431.03,4.88,19156220590758,27848743461,8337721373756,18087326444,7716b1528f45dcded5ffda98928bb6d7,
AI,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,185,4508.288000,33.489915,35.248420,40.602497,10.118749,8.970146,25.190034,24.603415,28.792894,35.217841,33.489106,35.247273,40.600795,1.322484,1581.66,3.12,12394600147919,19852643763,5448125550676,11696102102,644490c54fb22d2007752fb2c1970512,
AI,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,210,943.088000,30.974210,34.103196,38.345842,7.037696,6.912634,7.783219,7.412896,26.363729,33.295726,30.973618,34.102149,38.340856,2.351374,1251.73,2.65,7685297142800,16957842705,3336958407546,7668359047,b6387fec6b5ed68248ffb8e89b8778b4,
AI,aom,av2,0,A1,PierSeaSide_3840x2160_2997fps_10bit_420_v2.y4m,3840x2160,30.00,10,3840x2160,85,56663.008272,46.777690,49.211492,46.874414,34.004592,25.599105,99.845228,99.806295,47.931932,46.701824,46.771748,49.203648,46.869269,0.000627,5937.26,7.43,34058806417540,37923256194,15499610217544,20404578310,638264ebfc0523e93ef738930f0cce56,
AI,aom,av2,0,A1,PierSeaSide_3840x2160_2997fps_10bit_420_v2.y4m,3840x2160,30.00,10,3840x2160,110,25899.650424,44.707646,46.762828,44.751653,29.832016,23.408723,99.754522,98.927715,44.377606,44.801794,44.694526,46.750983,44.739638,0.003044,3474.87,5.88,20161768154673,30878940106,9111628857814,16327878764,f9a3c9a54c103cc8b9f78f115f25184e,
AI,aom,av2,0,A1,PierSeaSide_3840x2160_2997fps_10bit_420_v2.y4m,3840x2160,30.00,10,3840x2160,135,12773.317896,42.081888,44.226081,42.925038,25.634149,20.770185,93.672520,91.612608,40.041025,42.842247,42.064117,44.216032,42.913120,0.005956,2875.56,5.00,16970853655659,26616468691,7567285254538,14055284739,b9d1659e5aa0462b154ac2808fac837e,
AI,aom,av2,0,A1,PierSeaSide_3840x2160_2997fps_10bit_420_v2.y4m,3840x2160,30.00,10,3840x2160,160,6067.702224,38.848137,41.408249,40.734221,21.362547,17.682068,78.697969,76.635383,35.385858,40.421036,38.825334,41.399691,40.724116,0.011676,2081.16,4.38,12093699618660,23170815401,5502518601828,12432682662,da183fe32a501c7965c12136aac3878c,
AI,aom,av2,0,A1,PierSeaSide_3840x2160_2997fps_10bit_420_v2.y4m,3840x2160,30.00,10,3840x2160,185,2715.569712,35.375618,38.464953,38.532168,17.293058,14.552234,55.227643,53.334938,31.087027,37.573680,35.354859,38.459786,38.521777,0.031875,1614.44,3.75,9446229597725,19930696793,4288125578596,10798418492,3b81c7da00f11c986d783e66dcec3225,
AI,aom,av2,0,A1,PierSeaSide_3840x2160_2997fps_10bit_420_v2.y4m,3840x2160,30.00,10,3840x2160,210,1082.436480,31.887260,35.525540,35.577711,13.291798,11.516428,28.496341,26.870437,27.265506,34.397600,31.870061,35.520866,35.570123,0.069425,994.40,2.83,7440412410571,18209196802,3459745835145,10753803094,e965b1df7a9d067530b0e14e6f9e138d,
AI,aom,av2,0,A1,Tango_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,197555.420579,42.410346,50.262355,49.177156,32.751101,21.366053,99.774384,99.732899,45.870523,44.106163,42.410289,50.262170,49.172538,0.002269,12396.04,8.43,75142911494758,45911121493,32258952580216,22543419753,ddd2b5d65cc78e8731b7ae64b7f97b2b,
AI,aom,av2,0,A1,Tango_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,46741.370629,40.336250,48.983909,47.255021,27.215819,18.130439,97.638969,95.979038,41.051895,42.343827,40.336007,48.983835,47.249399,0.365490,5135.37,5.41,33338122534530,30346181011,14445842088681,16185674955,d4f70ef0b006799f977df3f5ea83722c,
AI,aom,av2,0,A1,Tango_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,22854.745255,39.272345,47.248205,45.064569,23.075477,16.621528,89.096883,87.269207,38.289987,41.025957,39.272187,47.248130,45.060049,0.488231,2933.39,4.22,22709805725105,26294254612,10047573338764,15387104656,2a722ea678351b79756417137849e713,
AI,aom,av2,0,A1,Tango_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,11364.219780,37.575689,44.862707,42.306475,18.855323,14.705248,72.860890,70.936374,35.043781,39.149662,37.575522,44.862402,42.303658,0.646099,2459.90,4.14,14582599618528,22423566960,6497348334813,11697328629,258389ed59bd7761cbe62e0d2f8a77a9,
AI,aom,av2,0,A1,Tango_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,5511.224775,35.140909,41.744738,39.159219,14.864373,12.465494,51.146867,49.238184,31.565652,36.646132,35.140662,41.743168,39.157314,0.739003,1804.92,3.55,10552065471439,19465020237,4798404759887,10132330506,3e951993447736e1960c630c34b6fef0,
AI,aom,av2,0,A1,Tango_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,2553.558442,32.191039,38.013433,35.722542,11.260268,10.194407,30.664674,28.878888,28.128720,33.589851,32.190752,38.010412,35.720949,0.889578,1313.63,2.93,8228389255603,17749600962,3771553937719,9072953762,adf751c2c5bc8c337bb51e75d24b0bee,
