TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,110,19316.047645,42.254586,48.434656,48.296669,28.980315,20.206165,99.975223,99.776417,42.782391,43.083766,42.201663,48.405569,48.267780,1.182131,29852.35,16.99,192188395711626,66518529052,78586950685463,46352341898,0dbb3e0bdbc224c51addc1e551aa8e16,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,135,7321.842465,41.352146,47.076519,46.747677,27.128861,19.396974,98.913037,96.923663,41.112436,42.122489,41.335083,47.059491,46.727311,1.216020,29474.12,14.58,182753975477489,54754034805,77588919556215,40057914355,db04684fbc1c3261e48b8e2e195aaa68,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,160,3151.762699,39.911854,45.308380,44.716025,24.550184,18.174601,93.043032,90.838219,38.544812,40.819645,39.891974,45.288584,44.692625,1.307683,17351.19,10.28,112814968290345,43298703858,46076492219894,28236125235,96907b0bcb8b134b844cd581524fc715,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,185,1558.563283,37.686334,43.157136,42.356276,21.178778,16.291595,82.259224,79.866025,35.114162,38.994010,37.656528,43.139810,42.337586,1.431393,11219.11,9.45,73099044731833,35468303324,29955522763798,26060777324,7fb8e47ec4b04069b51bcc627fda6e47,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,210,752.721740,34.721650,40.591742,39.814570,17.357611,13.863599,64.588225,62.142929,31.229738,36.528820,34.684806,40.578642,39.803138,1.597533,6597.19,7.95,44299497897992,29912767033,18864400863676,23657766720,9525a669bcd5a8019b6950c55361f61a,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,235,356.837009,31.436512,38.143438,37.560319,13.625291,11.303608,42.393721,40.223130,27.446519,33.856622,31.397086,38.131638,37.550818,1.267961,3958.34,7.42,25023522239223,25957766562,10480011802120,20448214838,bc372a371ddbcff476579da6c316699c,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,110,9975.910858,41.439428,46.848898,46.812225,28.014402,19.740312,99.885792,97.830259,41.835456,42.269459,41.423315,46.835671,46.794858,1.275327,18722.93,7.47,117942125729763,32690938248,49228700028750,20087007519,cd410a94837c62ac226e1c960335fba8,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,135,4275.847230,40.445788,45.664115,45.345529,25.897235,18.797827,96.377109,93.758025,39.813467,41.316445,40.432018,45.651061,45.327080,1.289572,18279.65,6.40,116532553902792,27530376072,48033736740588,17374438790,b583f9c4229f1b2699ef0bd50412d43a,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,160,2057.356797,38.697042,43.967150,43.311860,22.845300,17.230919,87.928132,85.343147,36.757959,39.841661,38.673877,43.952638,43.294086,1.398243,12010.57,5.52,77604083538327,21950208858,31741880047402,15103444461,9201f60dccb5c72984b55e5f27c4817a,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,185,1016.819488,36.184103,41.876714,41.016756,19.236779,15.076618,73.885350,71.297018,33.121369,37.817057,36.152360,41.863934,41.003105,1.477051,8701.07,4.26,56283396620187,17026711776,23104824253270,11634604484,9c28ca5761f67b2195d364253d6befe7,
