TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,8939.478983,41.669025,44.457466,44.098924,26.364794,22.872680,96.506609,94.385945,44.930220,40.306883,41.448530,44.403416,44.039600,0.000003,11747.75,5.47,69725077985703,22540571908,30632477075110,14422473523,7ff53dfbb6a66f543492ce6fabf4edaa,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,3284.313225,39.148329,42.829810,42.899359,22.975015,19.918608,91.989749,89.655129,40.557569,38.428613,38.863082,42.777417,42.854623,0.000262,10107.85,3.70,61499531315308,16481403378,26360333801862,9817763903,2ad34f2384463a9c86fa17f9320d2f05,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,1182.685622,36.134104,41.104400,41.572226,18.729095,16.304318,82.364309,79.955740,35.592830,36.181230,35.837971,41.057322,41.536299,0.004882,6624.97,2.94,41176770043444,15232057195,17293947009535,7814840033,cadb4f16d2d28713cbc4557fb6c0d7a2,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,414.250365,33.136820,39.335997,40.142312,14.288861,12.731616,65.923745,63.366806,30.963517,33.826683,32.913194,39.305477,40.120613,0.014037,4290.10,2.13,27672678724108,15072540018,11216315528186,5985529910,a4c0a78557f9aff62ace379899c65844,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,153.763775,30.308886,37.594358,38.523178,10.130155,9.507924,41.345811,39.741614,27.005214,31.498226,30.183566,37.577102,38.512117,0.030284,2484.88,1.67,17062841820003,13038929545,6987558406575,5199249501,1f511f7ae47e0a783905e8fc70c1e92a,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,64.864366,27.563017,35.652885,36.368508,6.628599,6.735833,17.875412,17.379598,23.638300,29.128457,27.500932,35.642796,36.364957,0.126811,1516.24,1.18,9525807508442,3528579620,3966082997015,3174874275,18887cf853b919a905f47d0b768cbabb,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,24727.974794,41.167283,43.465670,45.645682,30.521886,26.834999,99.975786,99.456011,47.209652,41.328464,41.027454,43.373312,45.576317,0.142523,13871.52,9.98,78570791440495,42948882041,36215558321773,26473195937,c53dd54884bb0fb2124984adb2a5e54d,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,11473.272574,37.203462,41.039024,43.059877,25.778097,22.697660,96.234765,94.414207,40.521962,38.456293,37.066462,40.977318,43.026650,0.183963,15328.87,7.41,88712522194602,31093876337,39974250016130,19869909999,6e19a9a792d3117de018b42ea59904ea,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,4988.982710,33.039662,38.908329,40.696177,20.658121,18.146070,85.206081,83.327292,33.692820,35.362179,32.900233,38.854819,40.682573,0.169720,11980.27,4.71,76729403996293,20232986961,33621595858589,13584560484,1762a0a30dc6dedb9a7ac99f573c20ac,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,2027.881042,29.173956,37.363885,38.651031,15.674901,13.749518,66.895924,65.107418,27.856587,32.324931,29.041922,37.311329,38.642603,0.175194,8930.50,3.37,58348813290911,12751217936,25065630169745,9835353565,dcf8a4e73ed99b45956e24564d0fbfd4,
