TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,19316.047645,42.254586,48.434656,48.296669,28.980315,20.206165,99.975223,99.776417,42.782391,43.083766,42.201663,48.405569,48.267780,1.182131,30091.03,16.92,192188452557726,66518765624,79212715979064,46062366751,0dbb3e0bdbc224c51addc1e551aa8e16,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,7321.842465,41.352146,47.076519,46.747677,27.128861,19.396974,98.913037,96.923663,41.112436,42.122489,41.335083,47.059491,46.727311,1.216020,27053.54,13.76,182753970838232,54753906340,76658819993255,40410275324,db04684fbc1c3261e48b8e2e195aaa68,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,3151.762699,39.911854,45.308380,44.716025,24.550184,18.174601,93.043032,90.838219,38.544812,40.819645,39.891974,45.288584,44.692625,1.307683,17630.91,11.31,112814959591992,43298774841,46834016674204,31260482962,96907b0bcb8b134b844cd581524fc715,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,1558.563283,37.686334,43.157136,42.356276,21.178778,16.291595,82.259224,79.866025,35.114162,38.994010,37.656528,43.139810,42.337586,1.431393,11495.92,10.34,73099060440688,35468269924,30674047099836,28539018355,7fb8e47ec4b04069b51bcc627fda6e47,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,752.721740,34.721650,40.591742,39.814570,17.357611,13.863599,64.588225,62.142929,31.229738,36.528820,34.684806,40.578642,39.803138,1.597533,5779.07,9.44,44299496546075,29912753847,20080772679990,34373275501,9525a669bcd5a8019b6950c55361f61a,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,235,356.837009,31.436512,38.143438,37.560319,13.625291,11.303608,42.393721,40.223130,27.446519,33.856622,31.397086,38.131638,37.550818,1.267961,3214.65,6.98,25023520773878,25957756053,11115936959455,24957401289,bc372a371ddbcff476579da6c316699c,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,18521.120725,42.682087,48.556469,51.973007,28.065725,19.920584,94.612509,92.828951,42.886510,43.543357,42.638320,48.539247,51.958964,0.318196,21141.93,17.81,164760066106007,78181026234,72247058113290,64317072916,b29d9fa82ac4e8aae4ff5fd9f4d6c1fd,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,6030.228233,41.920582,47.736639,50.839393,25.320894,18.936279,88.846594,86.965076,41.138706,42.786677,41.907799,47.727855,50.826525,0.297417,24934.45,15.20,154651387217208,65125366374,65169665852763,42325345829,d3fc57844d5c8114d5093d6ed2d4ee1a,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,2625.120111,40.692649,46.505835,49.184959,21.867835,17.515379,78.255679,76.364259,38.761397,41.639999,40.662989,46.493024,49.163869,0.274310,12724.25,11.98,85125643071485,51171374573,35945771829591,35673296494,0674a4d2f3f04152cb8421e1c512edeb,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,1268.674710,38.851532,44.785048,46.995639,18.220129,15.666244,62.308015,60.407715,35.964436,39.983861,38.796042,44.768349,46.967347,0.306275,8204.97,10.72,51129477655729,41774100931,21623149782291,29704720602,5cc91cfc4f86d4f27952aaedfac5e63d,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,607.711058,36.278943,42.529458,44.205726,14.489988,13.403736,41.915930,40.190284,32.785184,37.648332,36.200689,42.505531,44.163490,0.387383,5317.74,9.48,32751147859525,34831583417,14081819134518,26292882276,020a7178ff595f8d8a9b67dba1fde233,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,235,296.734650,33.290270,39.909169,40.990637,11.127345,11.080955,22.122273,20.922214,29.560597,34.851195,33.200963,39.881820,40.940379,0.567184,3602.11,7.96,21820479035668,30672903557,9633883205740,21856365504,dc37c81580779763359c32fffb123f8c,
RA,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,27068.045800,42.912045,48.489405,48.615082,31.849486,22.571435,99.971027,99.962586,44.184421,43.811939,42.818131,48.399073,48.514894,0.015630,27725.64,18.89,172743502259647,76562012614,73133343405572,51032108167,a2b0414e853237fabce9cc079b00e103,
RA,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,12171.458080,41.297717,46.318024,46.537372,28.435450,20.559957,99.956761,99.945107,40.810367,42.084317,41.231403,46.235494,46.441328,0.016286,23143.61,15.06,185839608013227,67443406388,79772479490892,53570696082,591fb1cdb3a148e56af0a2478bb0db55,
RA,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,5659.488819,38.726495,43.659829,44.010358,23.945110,17.653103,95.233099,93.232782,36.508737,39.645726,38.651466,43.577325,43.913605,0.017953,20839.32,14.43,132856700989268,56351026459,55114359979292,39608924327,2627ae7352f2ec81f40aee6b4c4b0673,
RA,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,2679.158380,35.620521,41.027513,41.379949,19.241266,14.405403,77.361902,75.688813,32.238228,36.877826,35.539722,40.944788,41.282021,0.020119,14367.09,11.57,91540589885568,45584512428,37907933944276,31822836031,b9b96ad2d8182f7df8f8566761e93145,
RA,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,1200.999616,32.172340,38.397880,38.675283,14.570024,11.101809,51.510768,50.421661,28.122418,33.841460,32.087590,38.318454,38.579840,0.044217,9526.10,9.90,58733195652829,37429377776,24972711283253,27126664042,e7af4a6151131b955e74dc23062c90a6,
RA,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,235,522.621993,28.892529,35.933856,35.921061,10.471373,8.225108,28.548651,28.001732,24.575872,30.847495,28.801567,35.853590,35.817993,0.132442,6066.02,8.40,37412639947835,31063620570,15970667096483,22831915637,84562f018a241bc1987a30aea42dccd5,
RA,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,110,38304.735880,44.275812,48.130700,47.445626,27.670491,22.031829,99.976801,99.971024,43.105611,46.213803,44.183745,48.000426,47.301909,1.059573,25887.52,30.59,144938316523117,152765186900,67534537192007,83809055812,7ad3f3be48e22d3da8aa193cd3a292b2,
RA,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,135,17408.498578,41.030444,45.220391,44.364614,23.434940,19.262530,98.835673,97.782670,39.167290,43.492300,40.904646,45.140247,44.253332,1.249523,30168.85,25.46,173032700341498,122660720193,78624653872039,70385940341,b8c8e2089fec7241a7293983ad60c215,
RA,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,160,7901.590102,37.935610,42.006493,40.946838,19.753100,16.687142,88.117462,85.776331,35.079845,40.770575,37.802204,41.901029,40.793725,1.379727,23199.18,20.93,134506640775797,99026593113,60550857542940,58248587176,b8b8b455fb2de607504633f12337fbe3,
RA,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,185,3634.779989,34.745242,38.717609,37.360273,16.142715,14.080487,68.742048,66.485801,31.023049,37.830110,34.597838,38.577182,37.148641,1.509273,18263.02,16.66,109499156136126,78481143360,47739410218586,46720933462,5e5ac37f02f460e939353bc293784fa3,
RA,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,210,1584.560670,31.419642,35.334892,33.613492,12.550202,11.445735,44.816653,43.094544,27.099548,34.570291,31.273477,35.170590,33.360294,1.669285,13318.28,13.55,79984667046846,58380459976,34921252131382,38285282539,e9fb4cbfcef227f09bb20803461d0075,
RA,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,235,662.905710,28.298814,32.053291,29.997950,9.439771,9.117224,22.964508,21.891035,23.687236,31.199145,28.170653,31.876671,29.713958,1.868221,7132.21,10.30,53811854828243,43695513803,24519730051257,38073856313,b7f9d56d3986f68b8e8ff489b62aaa76,
RA,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,110,45974.248615,45.811896,43.119912,48.029023,26.276772,21.324038,92.495715,90.411354,42.699275,44.433840,45.733933,43.047216,47.969247,0.745192,39134.88,33.13,228793130178787,122821412725,101799249393783,90061013605,5cfb0c91577f71fc2127f4be1c0db7cf,
RA,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,135,20002.903385,42.602556,41.117718,46.447185,22.207538,18.189034,81.347283,79.398275,38.825734,42.316798,42.518087,41.073570,46.408977,0.836404,49151.51,23.69,299130311856589,94802365859,127750975393449,64874937075,88917e235c06ed7eca45537dde436f0c,
RA,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,160,8568.384000,39.281274,39.327700,44.819252,17.980863,14.948542,62.668297,61.058831,35.027605,40.228091,39.178834,39.302030,44.795339,0.761334,26353.53,15.62,209843818643491,63896090998,89634289487504,55887449319,902904351eac83fe1a4efad505b6e042,
RA,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,185,3277.698462,35.852393,37.564282,43.213357,13.594068,11.604753,38.118651,37.131340,31.333075,38.057545,35.728108,37.545162,43.196502,0.703822,21348.76,14.93,134612564206787,45495737667,55626403737570,41050125224,f48a754d60a93a1c99076b8be7da82e9,
RA,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,210,855.016615,32.775477,36.152535,41.775222,9.498590,8.669598,15.654969,15.240235,28.212992,35.949323,32.674012,36.138820,41.765315,0.965801,10754.60,8.54,67428918111181,31091601591,28202051945738,23515855606,ff92adfe1a92ab572c783cbc65d3e336,
RA,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,235,205.369846,31.093806,35.146225,39.930524,7.413235,7.267807,5.408982,5.196431,26.620076,34.132112,31.056504,35.138092,39.925812,1.988115,4325.72,7.55,28360785772653,21303158855,11528613590161,21085682278,4a7a5cfae4b6a6f0cdbb66bbddb29750,
