TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,60,5829949,48.664595,49.608824,50.779530,50.315953,34.279346,97.002981,96.367868,54.184410,47.789423,48.664595,49.608824,50.779530,0.000001,707.37,1.61,4101327130067,8214029064,2011545321503,4229026153,eda7c4dc356ffd20b1d45d3df6308265,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,85,3785142,42.476508,45.519323,47.927076,44.408163,27.956829,96.181000,95.222470,49.097888,42.975700,42.476508,45.519323,47.927076,0.000055,632.21,1.31,3576408192804,6648444011,1787109041967,3453987212,8fbebd9310d3de9b666cf3c487bfeb58,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,110,1988344,36.255440,41.933823,44.960352,37.944835,21.500653,93.768964,92.425957,42.138281,38.100567,36.255440,41.933823,44.960352,0.001028,393.08,0.86,2946908507351,5360806152,1431561234319,3028044221,8cb440c5a19fa5f4bf39a7bddc4178d0,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,135,903286,31.790799,38.963627,42.151748,31.703750,17.174293,87.506277,85.573937,35.517230,34.346757,31.790799,38.963627,42.151748,0.002576,651.72,0.69,3994464651516,3612571452,1799608254628,1858019707,50803b8201f8d4c49d4576727afed9e8,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,160,413235,28.241287,36.131041,38.989745,25.482915,13.707123,71.334290,69.253206,29.255539,31.160502,28.241287,36.131041,38.989745,0.007614,411.97,0.50,2574356345185,2648227275,1123894197891,1358637164,d7c2e307352d8fab0db06fe462b1df36,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,185,175417,24.683040,33.475200,36.292655,19.403704,10.003948,45.167778,43.515544,23.404161,27.998114,24.683040,33.475200,36.292655,0.031289,201.73,0.31,1623720313267,1950181480,708549486914,1108442299,4910a754b500a59c442f8a3e0363971c,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,60,4005448,48.513250,50.462542,50.814962,45.667085,31.050572,96.586203,95.844360,52.442923,47.912293,48.513250,50.462542,50.814962,0.000004,548.84,1.05,3881795008799,6588658414,2028657074416,3607701489,aba93a5df8e91d6a427543ffa713e893,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,85,2152307,42.459444,47.878689,48.291382,40.130655,24.800901,95.125842,94.093534,47.240272,43.771096,42.459444,47.878689,48.291382,0.002803,566.12,0.95,3302848781827,4908708082,1602144404071,2524870388,50b7b662eba063a997b9f7e5c65befa4,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,110,864144,37.316956,45.473747,46.090279,33.704139,19.083738,91.749031,90.079060,40.649240,40.001915,37.316956,45.473747,46.090279,0.346440,388.97,0.62,2372273725935,3342498694,1082135997039,1684159056,c9cd8ff173f55b1c38d92cd162abf2db,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,135,324369,33.983010,43.569091,44.214080,27.825695,14.898929,82.993376,80.881942,34.488233,37.308032,33.983010,43.569091,44.214080,1.165243,277.09,0.35,2235835148746,2138721470,982026448923,1270568924,033a9829821f0091df3d3a1507395e7c,
