TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,213318.185814,44.644544,49.948172,49.702334,34.042254,23.163088,99.865313,99.825005,47.116814,44.834319,44.644519,49.948134,49.702310,0.008772,6592.05,8.59,52242987089486,58413877510,22488540508072,29970526743,0e8d3fb1a99d69e245ee775880b7d708,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,75279.456543,42.093213,47.349381,46.805102,28.741165,19.946930,99.786784,99.266212,42.220549,42.493175,42.093184,47.349297,46.805074,1.106832,5235.87,8.63,32162413197008,44712058525,13752031861330,23835746390,7413386b319d64120ad21a32a4235ba3,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,37203.580420,40.184144,44.821504,44.115662,24.773031,18.077066,94.721664,92.497283,38.749688,40.596506,40.184125,44.821120,44.115570,1.256831,3378.17,6.78,26852796096220,36866071202,11632798109657,24683647110,0d5fde9b98cb68c383cdb4830f8d0922,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,18334.913087,37.564121,42.175296,41.449412,20.626935,15.747700,81.703762,79.152651,34.762489,38.404101,37.564074,42.174704,41.449143,1.308579,2422.29,5.32,19182495500040,32104604998,8393234554794,19384599700,2493ba3d5ed0975348ff4daf851f0468,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,8517.258741,34.341021,39.424473,39.061628,16.398312,13.053116,61.084077,58.537857,30.618197,35.809375,34.340868,39.423777,39.061063,1.164993,1908.51,4.93,15072069409798,28117777695,6650031888686,18163578797,492dd29d65e4db46620fb2a7ad746941,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,3675.684316,30.940534,36.484875,36.344786,12.497715,10.429164,37.113812,34.911604,26.735483,32.618416,30.940337,36.482730,36.343408,1.227080,1548.72,3.81,12269331356411,22984248811,5432054396960,14073011985,f6b14546f1b8cd6da8840a1a6fb13343,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,104232.823177,44.016237,49.744233,53.009305,32.956740,21.894661,99.423395,98.092766,46.022170,44.657018,44.016019,49.743892,53.009002,0.013728,8418.26,8.35,52717220515409,46039555162,21979549322826,22467565573,9be9f80585b130b9384539f8a8ce81ad,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,26609.198801,42.764797,48.461532,51.699847,28.240466,19.935036,94.801922,93.090987,42.973951,43.502737,42.762715,48.460805,51.699267,0.323169,3987.03,6.93,24740321630093,34135487697,10494564589733,19220988762,eae223a658b7b0d30b9f54f253093c3e,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,13041.838162,41.841542,47.085740,49.947749,24.330510,18.646574,86.771536,84.692065,40.751677,42.450792,41.836062,47.084860,49.947017,0.313769,2920.47,5.83,18053589107495,29368607963,7724022243198,16273511619,a94a7a0d6c6015d278849eaf4ecf33bb,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,6602.117882,40.343713,45.165151,47.485600,20.203431,16.838085,72.371756,69.939475,37.959043,40.856718,40.334666,45.164146,47.484797,0.310056,2091.32,4.64,12848808318174,24689564547,5590399275090,13064159718,ef234e50cb9625d83056bf697da13eae,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,3385.750250,38.123707,42.500592,44.311515,16.131797,14.608977,53.307951,50.557708,34.795277,38.480425,38.114010,42.498843,44.309908,0.424046,1352.07,3.41,10584728564317,22111095252,4742986915244,12582559323,05f7fdadce4805a59c8e300ef158cff3,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,1735.064935,35.236326,39.332754,40.376645,12.392864,12.200445,31.025435,28.678993,31.427232,35.161275,35.228622,39.318368,40.365770,0.622100,1194.63,3.41,9285302412666,21631014211,4217543977990,12613881836,7a5ec745f7ca76fd9f43430516dcb563,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,185584.943057,45.462228,50.708648,51.019215,35.877092,24.553555,99.820864,99.773707,47.989035,46.103545,45.462137,50.708175,51.018979,0.007735,8780.73,11.00,53348612288365,57911239411,22927479866928,29985250955,3f77c34845553fc06e1996d6e68b5ae1,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,90124.995005,43.187315,47.604062,48.130962,29.955674,21.477226,99.686607,99.629366,42.795611,43.530535,43.187224,47.603679,48.130068,0.009948,5872.28,9.36,36157389965452,46940123401,15392210483948,25848818071,50bfdb3c91c27467477c5e039ce0fb2c,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,46490.389610,40.463786,44.557633,45.151215,24.265802,18.144678,98.203918,96.220479,37.975687,40.764164,40.463309,44.557291,45.149823,0.012816,4796.84,7.40,29707703805309,39005257539,12613006607446,20581662635,ecbb4dae5fdd47ca9183e6ab2d1bd9b1,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,22979.148851,37.152012,41.674027,42.120534,18.860455,14.538921,79.721247,77.700843,33.455047,37.750028,37.151193,41.672775,42.118104,0.022478,3526.63,6.55,21866711459499,33722366405,9320667073555,18310516026,41a4183672db9fd244b6db1752536596,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,10410.037962,33.606389,38.711350,39.020825,14.011143,11.129481,54.198052,52.570893,29.339397,34.534389,33.605172,38.710012,39.017996,0.066600,2094.82,5.47,16706932257447,29578991592,7270520677402,20115670491,b1ac8d7ff96ea5d9df7d1971af75e753,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,4322.685315,30.241026,35.944773,35.919699,9.869745,8.303454,32.369381,31.372028,25.815836,31.386150,30.240421,35.943295,35.916201,0.209999,2120.60,4.26,13250084985805,22491589013,5672752685910,12040967906,0673fbaaa57f361dfc118d8b824e2bc9,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,85,88829.778222,48.385278,52.421741,52.089573,34.442563,26.293001,99.880713,99.847248,49.053397,50.187620,48.379793,52.409632,52.044702,0.960122,7118.29,10.99,41463679932261,57587338056,18586295566815,29924423024,90fab4aa667e49734fb3882b1d870ed8,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,110,43303.976024,44.631804,49.081055,48.613666,28.734000,22.215351,99.803351,99.756604,43.880884,46.933943,44.620222,49.069416,48.566426,1.148496,5110.12,8.73,30168870371217,45570576051,13388855282791,24049991062,222944631f574bdbb682d0362e2046c5,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,135,20137.078921,41.256508,45.710284,45.165288,24.004170,19.298828,99.095854,98.158468,39.714399,43.920493,41.240724,45.700235,45.117693,1.490967,4462.60,7.33,26847702702920,37096049228,11739290982120,20348205100,2b109a3469992ba37c80a1978052d1f0,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,160,9968.071928,38.193867,42.223659,41.603497,20.052128,16.719674,89.254786,86.988902,35.552899,40.952987,38.175599,42.214180,41.550775,1.844403,2561.68,6.03,19919357394828,32417353034,8865601497717,22063031947,b73f7863fa331ebd75fad050852c939f,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,185,4803.684316,34.811409,38.536356,37.771521,16.063137,13.891114,69.133820,66.901166,31.151267,37.704312,34.791989,38.524929,37.706921,1.975849,2494.51,5.40,15487749074187,27884778044,6655938119810,15175417768,d0003ce8609099959d12b51160bd6e96,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,210,2145.686314,31.289135,34.812583,33.859616,12.190722,11.084252,44.011494,42.282360,26.941286,33.962340,31.269343,34.795517,33.782725,2.177025,1570.87,5.07,12251304181967,23618784338,5512606949532,18667062060,662a9996cefb31f4b392895d4e882b9d,
AI,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,85,201777.280000,49.433614,46.468239,49.982088,32.911613,25.352465,99.604744,97.885229,48.074673,47.470932,49.433056,46.467681,49.980791,0.245907,6949.79,12.07,42405243261641,63200303556,18208348100363,32862920545,2d796f75fa155fc58f73685c2137d917,
