TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,110,21622.257127,42.369661,48.637443,48.573177,29.228255,20.313369,99.975194,99.920365,42.983657,43.212456,42.311715,48.607277,48.544837,0.866808,96632.90,29.62,645908154240510,150618536143,272642829067396,88291163282,440adb4db6ffbe9ab7292c7fa4d22053,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,135,8035.107047,41.520581,47.366385,47.163545,27.402743,19.534798,99.753025,97.679475,41.411531,42.293491,41.501898,47.350440,47.145221,0.959783,85009.03,27.25,532257898678200,139854731030,223357004119337,76110392412,5edacbf5702c97cdf311fd13aba0b6e4,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,160,3289.303927,40.253032,45.712314,45.318847,25.051202,18.442900,95.283317,92.659821,39.095574,41.082593,40.236317,45.696538,45.302194,0.942581,48890.93,24.55,307127703159390,136903185354,129365722723273,68577460257,05fe3552fe87ab481f5757b8fe522327,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,185,1589.746869,38.247395,43.633228,43.022496,21.848026,16.724378,85.992134,83.143170,35.881886,39.380516,38.222394,43.615226,43.007409,1.085493,30456.63,20.43,198082171412726,113600008388,81010535866696,56723309080,44f3fab22d43bde6938e48e0efb9f681,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,210,756.598478,35.475546,41.266422,40.703533,18.167755,14.435013,70.319610,67.456758,32.149322,37.243636,35.443864,41.249195,40.692979,1.216065,19209.39,17.53,128017967510069,88557517663,55324530223727,51850195024,6a09ab1a0fd8b742e3934e733386d009,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,235,348.965496,32.292281,38.699115,38.317133,14.406973,11.908717,49.233164,46.681730,28.390208,34.687466,32.257218,38.684199,38.302031,1.099690,12305.42,16.00,74235173381593,78128207674,32797248478041,43839049279,3ba130ca01c1b5e036fb883c6fbc73e5,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,110,10868.962422,41.549687,47.013449,47.066991,28.260884,19.850084,99.957734,98.259997,42.069081,42.380286,41.533039,47.000882,47.051163,1.097538,36512.74,15.00,228176298152376,70009487350,96054122749624,41430214841,b442d675ed333a8905e5fba66c31be8f,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,135,4553.157612,40.648062,45.925696,45.769499,26.253556,18.977054,97.418828,94.679417,40.196958,41.494271,40.635462,45.914421,45.754308,1.014986,27747.26,10.95,219863120567604,65388858421,95531473381534,39636550732,9d784be57212b6b68c68f88918e93c36,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,160,2140.339660,39.091704,44.339088,43.938179,23.418494,17.565571,90.663319,87.586253,37.376218,40.142334,39.071890,44.325489,43.923013,1.071000,17667.39,9.15,140876295884974,59659146018,61155980322041,33156637814,5dfd97d6b8e4467c76257b0a5339a2f8,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,185,1045.151771,36.781065,42.344443,41.707002,19.945305,15.562428,78.329164,75.180382,33.901718,38.299301,36.752795,42.326138,41.692063,1.187489,15403.03,9.17,99306399978301,48780656548,40902651708938,25355670528,4c51264ff25797b7e26d61b5551b7afb,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,210,491.692922,33.820291,40.165277,39.592806,16.203719,13.126801,59.895632,56.934640,30.164216,36.090025,33.786862,40.151102,39.582089,1.150474,11124.20,7.74,70462075924158,38430972306,29680029116162,21207333890,e0b3c0aa7092e47b0c3a7d1c62ac8f79,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,235,219.712595,30.594771,37.801404,37.457579,12.631924,10.664537,37.474089,35.175080,26.546363,33.468055,30.561651,37.786789,37.445649,1.177906,6433.94,6.42,44495281481611,33939806398,18363714990566,18852770242,5c078ffede91bec5c3eba509a094ae90,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,110,7259.932683,40.624822,45.866876,45.702822,27.492985,19.363351,98.084864,95.498241,41.053476,41.683437,40.615404,45.859351,45.691314,1.191679,15639.11,8.06,118371966727711,41864207103,53937827272863,28893937784,f917e5500cca2cbb0a0b62c152cb486f,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,135,3288.994083,39.668153,44.903092,44.525545,25.253012,18.383923,93.918369,90.973045,38.962213,40.787323,39.655774,44.894047,44.512220,1.198984,19641.62,7.44,123383976326567,38298831888,51571349636593,20547072882,32ec56dd3478c5b3142bdb67d5ca8e2f,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,160,1591.469454,37.987905,43.370851,42.858283,22.100461,16.761422,85.265710,82.117382,35.917855,39.352448,37.966521,43.358717,42.843159,1.251642,13105.08,6.32,84736320910698,34176889075,34501152827938,17435845164,99024ebc6be04e6fbba0371aef9f6441,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,185,769.718896,35.577932,41.449378,40.829077,18.509011,14.621051,70.900077,67.759760,32.409682,37.461560,35.548385,41.433368,40.814828,1.290561,9459.57,5.19,61194000529940,27731058153,24981051819370,14305966006,d0951753c477e54b8ed4fcb53186da61,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,210,356.523477,32.561401,39.238431,38.850927,14.796458,12.153328,51.132503,48.349576,28.728003,35.155099,32.527818,39.219311,38.839010,1.395641,7185.75,4.33,46043579178319,22027706660,19087451961342,11923159734,86ceacade10a6b8e2d858a1e6b0e11ab,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,235,156.438024,29.371932,36.987610,36.830554,11.367268,9.772728,28.774252,26.800762,25.264126,32.537389,29.340778,36.974379,36.816537,1.338221,4500.76,3.41,31071458872145,18819507180,12817653623260,10018801620,4ed78ee1b92e556e7272d5c72052d55f,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,110,4276.562822,38.352611,44.451698,43.814710,25.961220,18.068117,90.332003,87.677353,37.513147,40.397495,38.347209,44.446431,43.805451,1.280247,11307.54,4.32,69087500742899,20574107193,29744728896033,11814541998,e2da05f568d0d392788b69ccee795fb5,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,135,2110.613079,37.478019,43.532525,42.824933,23.435789,17.001443,84.269174,81.418517,35.758633,39.491167,37.467105,43.525113,42.813120,1.382072,7259.93,3.19,57416299105241,18386416281,24933575145194,11403824077,c96b496df222f3dd2002d85dd276258a,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,160,1028.929225,35.904689,42.111621,41.364552,20.085007,15.308793,72.980913,70.042265,33.147769,38.054379,35.884845,42.100927,41.352480,1.407316,5279.30,2.55,42505092092933,16049717639,18161567510151,9156628167,e29efb5c9369d53f5978945465a88750,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,185,494.072082,33.616872,40.250417,39.597041,16.498887,13.172435,56.339869,53.619439,30.040384,36.136535,33.587721,40.236126,39.583921,1.433297,4066.69,2.12,32598985152846,12122663375,14012918495985,7535234918,48c7d65af7125c652e52b131df9f30e2,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,210,223.840160,30.737010,38.125571,37.835731,12.885512,10.821971,36.476564,34.327408,26.722243,33.827785,30.704111,38.112339,37.824469,1.350611,3844.14,1.74,25576073045159,9703342095,10154907413066,4711932080,38a7281f52107e63dfed5cb7cb16694a,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,235,96.995927,27.719590,36.200399,36.124137,9.743994,8.631166,16.921694,15.604900,23.601578,31.337480,27.686761,36.187353,36.113974,1.347552,2763.88,1.47,18252123407669,7990193783,7291566562224,3986014090,49b2336336cedb68ef406db05fc51a7c,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,110,3083.095366,36.245704,43.406822,42.533354,24.894092,16.477572,79.117274,76.453071,33.777224,39.219501,36.241549,43.402219,42.524776,1.392064,8744.08,2.53,52114118538122,12558713865,22933499934953,6890171415,7da3524f39d2415acb218f6b34564571,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,135,1566.077000,35.552764,42.554967,41.698346,22.126329,15.549178,72.132813,69.392813,32.669009,38.367414,35.544643,42.548040,41.688108,1.452045,5762.31,2.26,35431331124332,11217665779,15135562600335,6166068159,0d186ec2dbb74be5798f0063bdc9a372,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,160,759.523553,34.228068,41.197924,40.424088,18.681755,14.042963,59.881738,57.197287,30.798850,37.008727,34.211201,41.187611,40.412037,1.497607,4148.04,1.74,25502324771942,9393869813,10914611313455,4755419161,1f059496544666f21b9b6114592c28ea,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,185,365.095827,32.210793,39.405594,38.797596,15.164877,12.108880,43.729337,41.358369,28.318364,35.157474,32.185600,39.393156,38.785800,1.517969,3140.63,1.29,19514136488641,7040464659,8281941183601,3530745839,d00e633701ea588ac447b4123711e83b,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,210,167.500192,29.573328,37.465442,37.206664,11.730474,9.954034,25.959459,24.261475,25.461469,32.968907,29.541373,37.450062,37.194860,1.522968,2469.59,1.07,15554254356486,5833051640,6534983092061,2869520506,9f46aed85133c84d944e72259d9dffb2,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,235,72.411281,26.652197,35.611764,35.707027,8.769706,7.943881,8.037847,7.136380,22.554727,30.454458,26.617044,35.601654,35.692617,1.289849,1906.88,0.74,11707665422203,4338191737,5055759365877,1985758120,7d90a0686cce8dcae5ddc8b8fc63c52a,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,640x360,110,1827.684930,33.226327,41.964412,41.044949,21.562841,13.851171,53.016100,50.841124,29.233507,37.301823,33.223288,41.959831,41.037706,1.450289,3717.84,1.17,22570522136951,5956370563,9765938432316,3174951942,d6cd7fb43e428515b7da70c3d7ab7400,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,640x360,135,947.340659,32.741252,41.200886,40.332607,19.190237,13.169973,46.118142,44.019129,28.668269,36.574215,32.735756,41.194975,40.324120,1.532514,2132.77,0.85,16670063096159,5111698469,7319782712091,3004035865,af6363ae885b4f1fd241c6bb09f36a39,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,640x360,160,465.308230,31.736206,39.970903,39.181767,16.148991,12.021484,34.956743,33.114333,27.560670,35.357027,31.723877,39.961070,39.171236,1.545744,1971.87,0.79,12347886867725,4252017238,5185458562006,2142478718,4f777655e48ef12199dfb4fc399bf1a3,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,640x360,185,225.610697,30.096526,38.315014,37.789003,13.012453,10.482915,21.891356,20.505887,25.861910,33.690566,30.074645,38.304113,37.779226,1.619690,1377.84,0.56,9507442894000,3122057029,3901711670953,1626479114,f3d3ade524103ba7098233872e725f66,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,640x360,210,102.698532,27.770590,36.520836,36.321188,9.986026,8.691916,9.022345,8.196379,23.593175,31.556475,27.740780,36.503357,36.309420,1.572091,885.69,0.37,7369174307700,2506574539,3055661283082,1310096618,36f15e14c645a6a089fe060238e21fae,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,640x360,235,45.882733,25.140248,34.854619,34.793653,7.393107,6.967528,0.138778,0.085207,21.120420,29.112996,25.108457,34.847266,34.789125,1.461184,841.83,0.31,5419775698135,1827952451,2229473979620,822635151,b25a952f573b798eba45e2e88593bce7,
AS,aom,av2,0,A1,Crosswalk,3840x2160,60.0000,10,3840x2160,110,20133.102590,42.770177,48.689757,52.124291,28.352992,20.032737,95.340317,93.506853,43.093530,43.641047,42.720070,48.670106,52.110295,0.250884,90191.78,33.03,565943608660156,172148656384,236017335461765,91820970338,fbc864ee23a8b226b448d8c564ed1eaa,
AS,aom,av2,0,A1,Crosswalk,3840x2160,60.0000,10,3840x2160,135,6552.440790,42.068707,47.941705,51.093292,25.712224,19.118955,90.320013,88.304431,41.464049,42.938975,42.056421,47.933861,51.082180,0.231612,56243.94,24.45,445617044696989,156870290621,193052199591756,88745347763,fc0f6ec4b6beb05aa86cde8478ddf563,
AS,aom,av2,0,A1,Crosswalk,3840x2160,60.0000,10,3840x2160,160,2637.499116,40.997322,46.820430,49.556945,22.513938,17.855519,81.516122,79.400707,39.299331,41.907362,40.974009,46.809511,49.536935,0.147287,30523.13,20.00,240260341074106,133345270566,105433093838324,72381164734,7c6fbc4b1e68a2708fdd4b52f0bf9952,
AS,aom,av2,0,A1,Crosswalk,3840x2160,60.0000,10,3840x2160,185,1245.417967,39.351093,45.210936,47.414717,19.004782,16.164661,67.761541,65.657007,36.669943,40.376355,39.306077,45.194045,47.383146,0.150157,23550.75,20.05,147952758885832,113527388653,62531556856660,55546908983,a540c1877435fd54bf51e282622b5bc9,
AS,aom,av2,0,A1,Crosswalk,3840x2160,60.0000,10,3840x2160,210,590.116345,37.020268,43.133893,44.844767,15.401795,14.078306,48.944535,47.041436,33.669315,38.276615,36.951623,43.109610,44.803787,0.198081,16101.97,17.84,95234249905329,86576076226,43261941931185,49053784424,24dcc9a1916cd29e918556b1f63aa4e1,
AS,aom,av2,0,A1,Crosswalk,3840x2160,60.0000,10,3840x2160,235,278.132944,34.152491,40.462058,41.619239,12.005314,11.809606,28.897658,27.427266,30.473720,35.552378,34.066005,40.431431,41.542672,0.293563,9942.53,14.53,60335054235690,72062132845,26720773118120,39956757702,830dbe47150bd3251af9304842e43c01,
AS,aom,av2,0,A1,Crosswalk,3840x2160,60.0000,10,2560x1440,110,9579.155614,42.377977,48.292003,51.624409,26.961632,19.538344,93.085515,90.998672,42.216942,43.259517,42.365194,48.281312,51.613536,0.283902,27354.59,12.08,210196986942333,76892678294,93999025663187,43635976226,9c0c59c0d5da60e1cd01d869fedcd02a,
AS,aom,av2,0,A1,Crosswalk,3840x2160,60.0000,10,2560x1440,135,3641.246138,41.548428,47.429707,50.417812,24.112509,18.495500,86.572881,84.255752,40.358047,42.455471,41.533240,47.421278,50.402833,0.257812,29496.14,13.21,184406880015454,72291028315,77451024743465,36797016026,871b5f4cc282415231130cd8ccd8b641,
AS,aom,av2,0,A1,Crosswalk,3840x2160,60.0000,10,2560x1440,160,1661.933144,40.206685,46.133998,48.676351,20.720616,17.026748,75.441593,73.062306,37.967287,41.223227,40.172955,46.119706,48.648349,0.219730,18127.07,11.25,111042961197612,61528966638,47885922527546,31163519880,46aa4f413cc685fef6aa507ae30a943e,
AS,aom,av2,0,A1,Crosswalk,3840x2160,60.0000,10,2560x1440,185,781.802813,38.255595,44.380590,46.453936,17.195067,15.158560,59.257470,57.099314,35.200773,39.489748,38.198907,44.360056,46.414790,0.210546,11133.40,8.55,73951658447022,49611753378,31810407573131,25257247207,fddbb7689d7bc4caa7d8db4086274c65,
AS,aom,av2,0,A1,Crosswalk,3840x2160,60.0000,10,2560x1440,210,367.659418,35.664795,42.269354,43.854999,13.738123,13.004433,38.790977,37.110890,32.144343,37.203123,35.586176,42.244506,43.804546,0.254177,8137.45,7.58,52398275365364,40416446616,21634040007057,20843710871,6f7c33a1831f9fca89fd62c0b1f517df,
AS,aom,av2,0,A1,Crosswalk,3840x2160,60.0000,10,2560x1440,235,168.935065,32.690103,39.572998,40.650117,10.625676,10.818995,19.634354,18.557862,28.993421,34.350280,32.603321,39.543116,40.589343,0.390243,5539.85,6.34,35561014029921,31909324774,14747221280910,17375158780,8b2964eb4b4a1ac674519b346ae6dd06,
AS,aom,av2,0,A1,Crosswalk,3840x2160,60.0000,10,1920x1080,110,6107.670791,42.063597,47.955724,51.204370,25.875052,19.138445,90.771127,88.528617,41.488161,42.955470,42.053359,47.947473,51.192733,0.335578,18252.92,9.39,113197592465303,44856043333,47872069094251,25876285415,ef5da092210182beaf22e6868efc124f,
AS,aom,av2,0,A1,Crosswalk,3840x2160,60.0000,10,1920x1080,135,2627.078767,41.085600,47.008289,49.858186,22.861126,17.973833,82.870437,80.437344,39.471499,42.042964,41.064809,46.998242,49.839531,0.333031,16773.29,8.06,106105394606491,42354930485,44004449718840,22299160600,bf17a04747ec1b21fc3b25350c656303,
AS,aom,av2,0,A1,Crosswalk,3840x2160,60.0000,10,1920x1080,160,1211.844156,39.522491,45.603053,47.964620,19.396216,16.356189,69.971447,67.513116,36.932610,40.653995,39.481229,45.587532,47.933059,0.326239,10941.58,6.20,68937906560509,36052019260,28772936083112,17163751541,fb125e0783f9bc67e6348afd80cc6a9e,
AS,aom,av2,0,A1,Crosswalk,3840x2160,60.0000,10,1920x1080,185,568.574810,37.364345,43.728213,45.658278,15.927168,14.400569,52.299588,50.163212,34.099316,38.762693,37.300228,43.703281,45.614454,0.323405,7552.18,5.29,48090864186717,27966826063,19951163482791,14605448355,b7fe92dc3475727171c83c10b6aaafe9,
