TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,9682.477522,42.176801,44.849630,44.612778,26.984283,23.407119,97.021117,95.078205,45.733479,40.685289,41.968574,44.797416,44.555932,0.000001,111159.28,8.41,745094948170737,39927476142,312622822443869,24746729948,f25b824e2eb496c26ef9337e272a01c7,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,3443.849689,39.735049,43.503357,43.607780,23.683866,20.563034,93.023419,90.861679,41.470573,38.979397,39.466686,43.468667,43.575200,0.000010,90698.46,6.38,580928685455549,31612269828,237013212496000,17745313172,17830d0475e9eadcf5b1fba1d34f74b4,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,1266.977945,36.790131,41.853661,42.346609,19.523346,17.009282,84.551953,82.307257,36.568150,36.814952,36.489877,41.819451,42.315740,0.000740,61651.28,5.28,402635138193946,27418011738,161448397313400,14871338855,46a39c368ff0759b3c6f6628450a28d7,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,460.313840,33.790909,40.041611,40.922647,15.107092,13.415823,69.595806,67.268677,31.893332,34.472628,33.548631,40.014125,40.897102,0.003964,39352.53,4.22,264380854800714,23913757302,102985456320650,12043876860,8738fa29119f664d69cc74044d0ac3d5,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,172.837624,30.905123,38.248773,39.276917,10.911598,10.119083,46.925047,45.077089,27.789994,32.109774,30.761508,38.231301,39.259686,0.017239,19168.76,3.56,155016729239738,19593943249,65971226262730,13248907370,3f1724a15ec24878b94b9bfbf1fb8282,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,69.091524,28.254189,36.492365,37.393238,7.370660,7.349652,23.614582,22.853967,24.448700,29.870849,28.185330,36.479695,37.385260,0.070695,7659.03,2.11,57060781631008,11031696363,21907212126931,6371150934,66354e7012d57a08c311197708cfcb1c,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,25753.628525,41.711382,44.911555,46.465209,31.138286,27.357756,99.975937,99.761327,48.080089,42.260343,41.577385,44.850589,46.412089,0.113217,148161.66,14.74,896893019701031,63305995295,388159414699797,39839911583,59f163a8c77a44f493e89cd233b3e2f6,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,11993.493276,37.804023,43.076889,44.260431,26.441196,23.274486,97.347917,95.494116,41.476889,39.558570,37.674881,43.044280,44.233325,0.151811,96218.48,8.94,760141967060103,48245003919,328983480984709,31686586004,6590e3fd4b3f8984883724c8bd35140c,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,5414.291555,33.716916,41.273811,42.107333,21.381480,18.800059,87.695646,85.676615,34.680296,36.541587,33.583315,41.251031,42.087601,0.162049,96805.86,7.83,608388289641226,35571325948,253184284831308,21565884827,a0771f583eea361eb728e9bf606a4920,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,2234.366249,29.798894,39.145651,39.760732,16.347988,14.382206,70.387348,68.450631,28.674053,33.320078,29.666330,39.118418,39.737624,0.182941,69051.42,5.72,445921127764784,23319622770,180605668252566,15863545352,4ec1a382b23593ebe987b94026d6ec17,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,808.770307,26.326380,36.793771,37.447969,11.694983,10.388190,47.277777,45.694062,23.786219,30.132610,26.211300,36.768685,37.436654,0.167236,43704.96,3.66,286606177815987,16434811735,114445063762301,10190013308,a2c0aa0110aaae380dac2e868440d908,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,253.813878,23.554199,34.129312,34.577619,7.996266,7.288047,24.270492,23.345938,20.135600,27.303174,23.485627,34.120416,34.571246,0.123348,25389.79,2.81,171795261691711,12615399539,66688757625118,7785913238,ca608e99c29ccbd1068a583048897512,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,110,60620.544615,38.695536,40.317252,41.118684,25.376100,21.334238,99.976982,99.954277,43.617892,37.351925,38.482769,40.199675,41.019442,0.000282,307212.37,22.23,2384430321767970,126926088733,1058228526659984,78072996357,eb6408861dd72100fc5768e6389457d0,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,135,24952.603077,35.062430,38.002207,38.678935,22.183978,18.585349,96.761377,94.762797,38.454331,34.895072,34.922196,37.936782,38.611727,0.000548,314124.19,19.14,1908111310234952,90677963024,825823031180510,52098436822,694680e71cee6b341815516296d8164e,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,160,10288.092308,31.439793,35.932559,36.390853,18.326502,15.429481,84.170539,81.925403,32.553777,32.475041,31.318165,35.885808,36.339311,0.000592,206795.59,14.52,1289475549592770,65374602760,541681564922455,40098306785,3f7a4b791fcbf22b6ed8a7d023427f77,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,185,4021.720000,28.031413,34.026516,34.266041,14.026291,12.008626,62.591838,60.609097,27.108504,30.037194,27.923182,33.990827,34.225791,0.001175,129432.64,10.56,815007206464192,43925986330,339068325294868,29336968830,bdab4e83fbeeb62208eec5a11994e6e5,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,210,1361.326154,24.913565,32.228605,32.343046,9.770674,8.676096,36.078367,34.856985,22.474330,27.565027,24.828239,32.204011,32.313430,0.008035,71605.23,6.11,471775181901878,30218308294,187984440599565,16997694456,815a38536c0c5b879e9955592c6226ea,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,235,392.753846,22.335746,30.622743,30.728731,6.411181,6.034448,14.129656,13.695230,19.018277,25.250680,22.277562,30.612634,30.714335,0.046049,34286.18,4.09,234230337749132,20444146512,90256899127101,11512321605,b8237b6b292890aa6ccc763649645eef,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,110,13963.557058,38.993714,42.005210,46.634171,20.392080,16.916743,89.838654,88.632662,40.622210,38.968572,38.787710,41.898935,46.576725,0.670957,622143.64,17.02,3867548808274592,82092497821,1621207296916878,46500651253,983445b608f9489c44e589da56b2d265,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,135,1496.452471,37.654577,40.398500,46.016616,17.417937,14.813938,84.149071,82.394548,37.670135,37.699287,37.621115,40.365649,46.006864,2.846355,202525.07,7.32,1296948843840442,37769038203,528294202262356,20821019157,2f88b6ac1a075fb8d6ecaaa1185772eb,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,160,163.931453,37.275813,40.071978,45.682381,16.574618,14.332169,79.020510,76.835945,36.767805,37.387413,37.272931,40.068226,45.679973,2.931892,54817.77,4.57,364095773159235,25226619985,143952003930688,13077052469,52418471ea8edf103b42bfc10e6ff030,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,185,55.842004,36.714585,39.884631,45.167402,15.486383,13.762706,69.461508,67.048594,35.547974,37.034237,36.709967,39.882798,45.165725,2.766939,19572.45,3.03,135419072526876,15870615640,51834713924718,8567487222,e03266888b8022663ddab340e29d7618,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,210,28.872666,35.613224,39.397571,44.142009,13.801458,12.769494,54.697845,52.293376,33.568829,36.377815,35.594660,39.394389,44.135283,2.648770,8260.11,2.12,58697725714649,11474433451,22146403730364,6118006336,68af52ef85ef34d33139820985381ae4,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,235,15.975409,33.846314,38.536561,42.427948,11.706936,11.321298,38.559651,35.813125,31.023526,35.017386,33.800974,38.531984,42.421130,2.368931,2675.44,1.75,19572395473759,9699653740,7884960970574,5510262929,6f2fc4b19e1e327c4ecf4ec9349c58e2,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,20506.372397,39.934263,44.282700,45.283180,22.437609,19.094270,99.633956,98.441531,42.067094,39.984590,39.783105,44.220531,45.243282,0.093754,222662.19,12.55,1772895676372177,67674288660,760308837773253,45182829553,e016cea6ef4400e79195d2048850f0ec,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,5099.110121,38.032966,43.156121,44.343919,19.138550,16.769199,94.547384,92.336063,38.333136,38.628942,37.974066,43.134199,44.330701,0.103827,158600.13,8.83,998419534246079,45339528309,414406256658778,24742262755,168ceee7ff467e4f2a96a98fa7725e16,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,1728.900023,36.062017,41.873241,43.041280,15.944233,14.463048,84.426488,81.929928,34.733877,37.187190,35.999873,41.848768,43.022627,0.176916,86902.06,6.27,572446082893590,37251802734,227712692540313,17656352249,c6582d1d811756cec45fd921d3cb0996,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,666.013371,33.680267,40.342608,41.481590,12.365046,11.743727,67.301463,64.890520,30.997575,35.400513,33.613060,40.301540,41.453859,0.355414,47454.83,4.81,346424025217801,28631261469,134765598115013,14407108109,899fce8fac5218db97c68c9cd92345bd,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,254.673327,31.232696,38.718126,39.711298,9.247635,9.225077,47.759128,45.876149,27.724725,33.475171,31.173172,38.666140,39.674281,0.479272,26843.83,3.31,189125533667904,19387355000,71150902762597,9221981058,0c81eb1a16b991dc9d60980153d89415,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,97.777914,28.903322,36.734755,37.668024,6.957721,7.214953,32.443451,31.078509,25.014114,31.380632,28.852914,36.680160,37.631249,0.681046,11269.85,2.34,79598253150196,12685568944,30007355643536,6519006584,0820fdd97b69e7f8348afd9f7df76a74,
LD,aom,av2,0,A2,GregoryScarf_1080x1920p30_yuv420p10le_130frames.y4m,1080x1920,30.00,10,1080x1920,110,27925.491692,40.382906,47.044234,46.726533,25.789542,22.120659,99.975077,99.969076,43.784964,41.926479,40.155324,46.772831,46.494686,0.067761,272690.46,23.69,1602977387073716,111915082750,717804447743178,64285256252,08f9bd61ed6857bfc6f22ac4b3b2a555,
LD,aom,av2,0,A2,GregoryScarf_1080x1920p30_yuv420p10le_130frames.y4m,1080x1920,30.00,10,1080x1920,135,11352.155077,36.688413,44.101659,43.731679,21.002492,18.315957,99.966826,99.936087,37.862060,38.779630,36.486197,43.787714,43.482411,0.066853,174762.88,13.15,1301007159985808,83919146297,600997345765240,47229875989,b31d4ef4a9ec21a8ff0b3fd9addd3834,
LD,aom,av2,0,A2,GregoryScarf_1080x1920p30_yuv420p10le_130frames.y4m,1080x1920,30.00,10,1080x1920,160,4560.060923,33.320851,41.157400,40.924530,16.497405,14.697434,94.167617,92.193363,32.549444,35.794300,33.129820,40.822621,40.668708,0.066125,143510.83,13.81,880598912936590,65202835626,376664371964227,38596063213,b456094e8d87a8b050252be960b4e5a7,
LD,aom,av2,0,A2,GregoryScarf_1080x1920p30_yuv420p10le_130frames.y4m,1080x1920,30.00,10,1080x1920,185,1710.888000,30.166369,38.354912,38.398288,12.279535,11.247148,73.333014,71.280521,27.907759,32.923014,29.978879,38.004148,38.160619,0.068448,92967.74,8.79,592993088042331,50519224783,244187280674876,24778565116,6608fd8f0fe954cc2e23847ea447a0d3,
