TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,20811.653577,42.387381,48.763790,48.732119,29.254815,20.328261,99.975559,99.923458,43.009897,43.276957,42.328200,48.732329,48.701076,0.934877,,,,,,,8f6cace7cbb45bffc653e8ce81dc139c,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,7622.221471,41.555023,47.585201,47.461890,27.441220,19.564682,99.787424,97.772348,41.471780,42.415556,41.535807,47.569114,47.443851,1.078314,,,,,,,35f96dc1e89d68ec2a5abe802519bde7,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,3054.235611,40.315461,46.081346,45.777065,25.134354,18.500560,95.593465,92.939075,39.207708,41.276162,40.299130,46.065014,45.760710,1.135034,,,,,,,ec2fc52aa4412bca68f65ea1cd10e409,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,1477.472681,38.353271,44.081529,43.735637,21.971773,16.818070,86.706706,83.798447,36.057727,39.633281,38.328267,44.062085,43.716337,1.139551,,,,,,,e105f2b8bc5eb067a4659de092e40ce2,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,706.551295,35.631849,41.664435,41.391692,18.308633,14.563542,71.813921,68.735084,32.371170,37.456244,35.599931,41.641351,41.373613,1.248676,,,,,,,fe3c2de8de4eac683a1278912d1d1b95,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,235,331.636364,32.483124,39.013028,39.020076,14.594628,12.074268,51.926117,49.021840,28.630123,34.914498,32.447318,38.991478,38.997710,1.196767,,,,,,,fbcff137abf570584b51c5e0b26c8af0,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,19320.389149,42.783521,48.801487,52.248104,28.389788,20.049378,95.489632,93.599453,43.127048,43.691683,42.733550,48.781341,52.234131,0.327880,,,,,,,72a0e1d7cd6e65a9c88068f337007c02,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,6249.273188,42.092545,48.103374,51.270119,25.774358,19.148561,90.731944,88.561415,41.518047,43.013467,42.079945,48.096353,51.259609,0.351789,,,,,,,f7dd334fe69aefa8ff89bfa2888675b7,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,2455.358795,41.038103,47.079987,49.782958,22.595361,17.901668,82.274963,79.947325,39.377984,42.016835,41.015248,47.070614,49.763394,0.362123,,,,,,,a62eba12ef11edb82381d19ebb328b93,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,1143.342811,39.422393,45.564117,47.734586,19.118530,16.239637,69.035780,66.782285,36.785133,40.533993,39.378028,45.547576,47.699765,0.392475,,,,,,,22beb3ea5051860256f38fc8c13a617e,
