TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,Res,FPS,BitDepth,QP,POC,FrameType,Level,qindex,FrameSize,PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,CAMBI
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,60,0, KEY ,1,60,5788351,48.840474,50.034698,51.254199,50.515336,34.523910,97.014517,96.379372,54.523728,48.156890,0.000001
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,85,0, KEY ,1,85,3802045,42.868703,46.189579,48.567858,44.658080,28.474897,96.270208,95.292827,49.803263,43.515554,0.000017
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,110,0, KEY ,1,110,2064653,36.846440,43.063559,46.172573,38.631809,22.275157,94.228416,92.802077,43.340710,38.923994,0.000596
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,135,0, KEY ,1,135,921219,32.241570,40.413706,43.857739,32.363839,17.665904,88.564593,86.539118,36.505363,35.089073,0.002093
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,160,0, KEY ,1,160,427610,28.845300,37.916446,41.664557,26.269370,14.332121,74.016033,71.945406,30.377305,32.094785,0.006976
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,185,0, KEY ,1,185,189838,25.483038,35.356963,39.570603,20.316371,10.773415,50.138946,48.359494,24.574645,29.020247,0.026003
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,60,0, KEY ,1,60,4012590,48.834636,50.924878,51.265688,46.077196,31.450350,96.594562,95.859493,52.833691,48.341240,0.000006
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,85,0, KEY ,1,85,2232140,43.003873,48.561760,48.916491,40.718203,25.457686,95.218694,94.206890,47.971578,44.308453,0.003304
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,110,0, KEY ,1,110,953390,37.957545,46.448950,46.936152,34.674757,19.907156,92.220241,90.647246,41.706172,40.659062,0.179922
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,135,0, KEY ,1,135,348258,34.377492,44.398334,45.010232,28.692875,15.425828,84.439136,82.329323,35.283582,37.766814,1.052308
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,160,0, KEY ,1,160,147103,31.897834,42.641047,43.104690,23.398679,12.363465,67.698646,65.708730,30.351994,35.516641,1.850902
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,185,0, KEY ,1,185,65229,29.350875,40.723977,40.970908,18.257024,9.787421,43.154032,41.772432,26.264574,33.097755,1.832645
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,60,0, KEY ,1,60,1094486,51.378650,55.875924,56.413793,44.151602,29.540079,96.558203,95.403532,50.962282,54.427188,0.016007
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,85,0, KEY ,1,85,550473,47.672580,53.419147,54.127375,38.334318,24.891406,95.363654,93.818623,46.550063,50.209719,0.040156
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,110,0, KEY ,1,110,267144,43.966042,51.191599,52.123327,32.358044,20.543738,92.050248,90.017838,41.654777,46.739453,0.143643
