TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,Res,FPS,BitDepth,QP,POC,FrameType,Level,qindex,FrameSize,PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,CAMBI
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,0, KEY ,1,133,371114,44.398024,49.847338,49.891699,33.806157,22.864088,95.959119,94.687179,46.698718,44.635830,0.003796
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,1, KEY ,1,133,370967,44.408904,49.823870,49.876736,33.803049,22.879654,100.000000,100.000000,46.706988,44.636655,0.002349
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,2, KEY ,1,133,368962,44.407600,49.865883,49.888534,33.768389,22.867101,100.000000,100.000000,46.689526,44.655567,0.004946
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,3, KEY ,1,133,369958,44.425643,49.855335,49.896883,33.810512,22.898775,100.000000,100.000000,46.711131,44.664652,0.004221
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,4, KEY ,1,133,369601,44.423239,49.856996,49.922249,33.819859,22.904671,100.000000,100.000000,46.730262,44.663372,0.002979
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,5, KEY ,1,133,369178,44.424771,49.868402,49.921306,33.812380,22.901474,100.000000,100.000000,46.736822,44.674966,0.003373
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,6, KEY ,1,133,368161,44.431551,49.853069,49.920734,33.801806,22.902397,100.000000,100.000000,46.718659,44.680813,0.007757
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,7, KEY ,1,133,367740,44.416560,49.838995,49.919156,33.809889,22.896443,100.000000,100.000000,46.717444,44.662427,0.004721
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,8, KEY ,1,133,369094,44.430286,49.858646,49.910970,33.810512,22.909839,100.000000,100.000000,46.728311,44.688252,0.005849
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,9, KEY ,1,133,368929,44.433278,49.857934,49.936895,33.844883,22.936797,100.000000,100.000000,46.772470,44.696488,0.003100
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,10, KEY ,1,133,368854,44.437038,49.852154,49.942683,33.894099,22.936999,100.000000,100.000000,46.777416,44.696390,0.005312
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,11, KEY ,1,133,368547,44.433983,49.853604,49.921328,33.833604,22.905829,100.000000,100.000000,46.734391,44.691112,0.003120
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,12, KEY ,1,133,368389,44.445515,49.867779,49.900790,33.824852,22.920332,100.000000,100.000000,46.739296,44.704167,0.006245
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,13, KEY ,1,133,367375,44.434947,49.848218,49.932233,33.833604,22.905095,100.000000,100.000000,46.738745,44.705176,0.003914
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,14, KEY ,1,133,367836,44.431735,49.852713,49.892339,33.804292,22.898192,100.000000,100.000000,46.712837,44.704429,0.004540
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,15, KEY ,1,133,370669,44.455573,49.850652,49.918698,33.824852,22.950452,100.000000,100.000000,46.774566,44.717052,0.005556
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,16, KEY ,1,133,369317,44.436243,49.845475,49.895694,33.851790,22.923495,100.000000,100.000000,46.747663,44.706896,0.003651
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,17, KEY ,1,133,371390,44.442924,49.844211,49.905017,33.901720,22.940941,100.000000,100.000000,46.769897,44.703024,0.007172
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,18, KEY ,1,133,372006,44.453235,49.845947,49.898447,33.882059,22.953108,100.000000,100.000000,46.759403,44.718379,0.004058
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,19, KEY ,1,133,372355,44.450356,49.854283,49.929649,33.883958,22.957123,100.000000,100.000000,46.760794,44.728414,0.004128
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,20, KEY ,1,133,370528,44.453440,49.850284,49.899883,33.958667,22.960660,100.000000,100.000000,46.761220,44.724487,0.007626
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,21, KEY ,1,133,371982,44.452388,49.840775,49.922621,33.844883,22.953479,100.000000,100.000000,46.768620,44.714885,0.005979
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,22, KEY ,1,133,372771,44.454238,49.807763,49.896561,33.902356,22.960215,100.000000,100.000000,46.769706,44.693884,0.003202
