TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,60,5674657,48.894159,49.665279,51.014267,50.603670,34.731443,97.054440,96.388667,54.420780,47.984626,48.894159,49.665279,51.014267,0.000000,45538.40,2.60,280351586412176,11973735102,118271406099246,6884404022,c540f683c102e1766f198caf979555f9,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,85,3731871,42.862027,46.022252,48.440249,44.765319,28.597648,96.345125,95.321019,49.790771,43.461359,42.862027,46.022252,48.440249,0.000018,51597.89,2.23,321304080887777,10301594500,133911273991336,5882634108,29b53b1958fd19411cbd8dbe237e2999,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,110,2026878,36.864568,42.927116,46.066278,38.762203,22.312088,94.219061,92.838145,43.335711,38.891783,36.864568,42.927116,46.066278,0.000239,88435.66,1.93,546950288763568,8735028248,229351405181315,5182850212,3f08a8b50a42ed5b5b8e0fad63fcea54,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,135,881161,32.148026,40.286786,43.725408,32.367856,17.588877,88.372183,86.494485,36.436839,34.997910,32.148026,40.286786,43.725408,0.002252,98655.34,1.22,779660605272402,6126364738,334759412316203,4363089509,969ec50964bd9abea56e843408c85389,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,160,403316,28.732432,37.635810,41.489920,26.239647,14.187401,73.788585,71.707851,30.196278,31.962997,28.732432,37.635810,41.489920,0.007833,86976.54,1.08,514974618390118,4967932917,225354722849824,2982591209,6be2488c4345fa52815f5f20148cad34,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,185,180043,25.424290,35.254728,39.541506,20.302916,10.666935,50.177954,48.361687,24.482922,28.980305,25.424290,35.254728,39.541506,0.019195,40995.50,0.84,308700310524391,4682727175,139233214489843,3002160296,4faa9e117ca291a113aeedba797e314b,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,60,3910556,49.022356,50.714116,51.066450,46.183385,31.693153,96.681782,95.911639,52.806988,48.274228,49.022356,50.714116,51.066450,0.000004,66086.11,1.72,537544009794910,9720562812,224176485111396,5927880256,4bcb6e95f213926e3ae2c116e485d118,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,85,2175903,43.068253,48.442007,48.783242,40.785919,25.559436,95.306916,94.263375,47.961435,44.287213,43.068253,48.442007,48.783242,0.001999,101922.19,1.60,631732699841178,7447781530,263867195527405,4224499557,f4a4d72217faa0de3f72c2bacfe364fd,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,110,915320,37.905088,46.289418,46.788629,34.667927,19.879501,92.249491,90.700462,41.668521,40.583562,37.905088,46.289418,46.788629,0.180634,117063.34,1.25,715097731092146,5823912318,303034046659748,3426696969,e4770b7746abda1f8edb3e4913a804cd,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,135,329251,34.320774,44.282187,44.890959,28.657767,15.354583,84.563054,82.429531,35.214907,37.712589,34.320774,44.282187,44.890959,1.075809,98326.32,0.91,581874340791566,4067832810,254661572920256,2535737326,5a1c94a1908a15ded00749aadaa7d8a3,
