cfg,class,video,tag,psnr_y,psnr_u,psnr_v,overall_psnr,ssim_y,ms_ssim_y,vmaf,vmaf_neg,psnr_hvs,ciede2k,apsnr_y,apsnr_u,apsnr_v,overall_apsnr
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,libaom-v3.12.0-constrained,2.6215,-1.8152,-2.0374,1.9196,0.3619,2.597,-0.5248,-13.2195,1.5267,0.2338,2.6216,-1.8154,-2.0375,1.8769
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,libaom-v3.12.0-unconstrained,0.4455,-2.5955,-2.4291,0.0447,0.263,0.8542,0.7226,-0.2601,0.1873,-1.7502,0.4454,-2.5941,-2.429,-0.0368
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v2.0.0,-5.2768,-10.4775,-11.0526,-5.9923,-5.0861,-5.1811,-5.848,-6.2977,-5.272,-9.7189,-5.2768,-10.4771,-11.0561,-6.1307
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v3.0.0,-7.7308,-12.6328,-14.6868,-8.5242,-6.4049,-7.3075,-7.0863,-7.8177,-7.5266,-13.0191,-7.7309,-12.6313,-14.6899,-8.6654
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v4.0.0,-11.3589,-20.9787,-23.1788,-12.7824,-9.2569,-10.7409,-11.7054,-11.7226,-11.1555,-17.9399,-11.3589,-20.9776,-23.1802,-13.0242
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v5.0.0,-12.9617,-25.1673,-34.4408,-15.2689,-10.4277,-12.0383,-14.0039,-13.8709,-13.0481,-20.7551,-12.9616,-25.1627,-34.44,-15.5968
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v6.0.0,-14.5916,-25.9854,-36.4444,-16.8786,-12.1857,-13.7605,-15.5272,-15.5041,-14.6836,-22.6264,-14.5917,-25.9725,-36.4438,-17.2011
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v7.0.0,-15.5879,-27.4649,-38.0019,-17.973,-12.8885,-14.6389,-16.7101,-16.6815,-15.6877,-23.7551,-15.5879,-27.4648,-38.0016,-18.3103
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v8.0.0,-16.2473,-28.544,-38.7819,-18.6729,-13.3708,-15.1576,-17.1232,-17.1937,-16.3309,-24.4435,-16.2473,-28.5445,-38.7808,-19.0101
AI,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,v9.0.0,-18.7789,-28.5516,-38.8599,-20.8195,-16.0832,-17.5412,-20.4822,-20.2759,-18.6473,-24.863,-18.7792,-28.5505,-38.86,-21.1276
AI,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,libaom-v3.12.0-constrained,2.4935,-4.1704,-6.2883,1.0744,-1.0674,3.6204,-6.2588,-4.9707,1.7173,-1.3711,2.4742,-4.1748,-6.2911,1.527
AI,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,libaom-v3.12.0-unconstrained,0.7559,-3.5681,-4.55,-0.0687,0.5579,1.1397,-0.8381,-0.7179,0.3473,-1.9699,0.7409,-3.5704,-4.5463,0.0694
AI,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,v2.0.0,-8.062,-9.4122,-10.3748,-8.4074,-5.7356,-8.7735,-10.1613,-9.8001,-8.0566,-8.9327,-8.0928,-9.3934,-10.362,-8.3909
AI,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,v3.0.0,-12.6178,-14.5523,-16.7982,-13.1884,-8.9105,-13.3633,-12.0442,-12.2498,-12.4669,-14.9919,-12.6422,-14.5427,-16.7838,-13.1509
AI,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,v4.0.0,-13.7101,-17.5503,-19.7269,-14.5886,-9.5666,-14.5381,-13.2676,-13.3618,-13.7557,-16.6576,-13.7379,-17.5332,-19.6859,-14.4648
